"Date","Booked Listings","Daily Rate"
"2026-06-08","15412","66"
"2026-06-09","13642","64"
"2026-06-10","13118","63"
"2026-06-11","13268","66"
"2026-06-12","14109","68"
"2026-06-13","13944","69"
"2026-06-14","11749","67"
"2026-06-15","10073","64"
"2026-06-16","9406","63"
"2026-06-17","9267","63"
"2026-06-18","9678","66"
"2026-06-19","10309","69"
"2026-06-20","10433","70"
"2026-06-21","9332","66"
"2026-06-22","8473","64"
"2026-06-23","8192","63"
"2026-06-24","8210","64"
"2026-06-25","8349","66"
"2026-06-26","8709","69"
"2026-06-27","8923","69"
"2026-06-28","8113","66"
"2026-06-29","7475","64"
"2026-06-30","6992","64"
"2026-07-01","6778","66"
"2026-07-02","7010","68"
"2026-07-03","7423","70"
"2026-07-04","7624","70"
"2026-07-05","7240","69"
"2026-07-06","7108","67"
"2026-07-07","7142","67"
"2026-07-08","7440","68"
"2026-07-09","8001","70"
"2026-07-10","8272","73"
"2026-07-11","8334","73"
"2026-07-12","7636","69"
"2026-07-13","7249","68"
"2026-07-14","6989","67"
"2026-07-15","7043","67"
"2026-07-16","7237","68"
"2026-07-17","7477","72"
"2026-07-18","7644","72"
"2026-07-19","7294","71"
"2026-07-20","7029","68"
"2026-07-21","6941","69"
"2026-07-22","7066","70"
"2026-07-23","7284","71"
"2026-07-24","7598","74"
"2026-07-25","7749","74"
"2026-07-26","7317","71"
"2026-07-27","6904","70"
"2026-07-28","6583","68"
"2026-07-29","6320","70"
"2026-07-30","6233","70"
"2026-07-31","5948","74"
"2026-08-01","5672","74"
"2026-08-02","5131","70"
"2026-08-03","4913","69"
"2026-08-04","4877","68"
"2026-08-05","5012","69"
"2026-08-06","5369","71"
"2026-08-07","5832","75"
"2026-08-08","6170","75"
"2026-08-09","5937","72"
"2026-08-10","5785","70"
"2026-08-11","5460","69"
"2026-08-12","5156","70"
"2026-08-13","5322","73"
"2026-08-14","5667","77"
"2026-08-15","5721","78"
"2026-08-16","5238","74"
"2026-08-17","4741","71"
"2026-08-18","4487","70"
"2026-08-19","4425","69"
"2026-08-20","4473","71"
"2026-08-21","4458","76"
"2026-08-22","4432","76"
"2026-08-23","4150","72"
"2026-08-24","3988","70"
"2026-08-25","3840","69"
"2026-08-26","3839","69"
"2026-08-27","3981","70"
"2026-08-28","4151","76"
"2026-08-29","4108","75"
"2026-08-30","3656","73"
"2026-08-31","3261","69"
"2026-09-01","3580","68"
"2026-09-02","4058","68"
"2026-09-03","5331","72"
"2026-09-04","7482","79"
"2026-09-05","8635","82"
"2026-09-06","8373","81"
"2026-09-07","7051","76"
"2026-09-08","5558","72"
"2026-09-09","5747","69"
"2026-09-10","7850","72"
"2026-09-11","8937","77"
"2026-09-12","8802","78"
"2026-09-13","6746","73"
"2026-09-14","4715","69"
"2026-09-15","3785","66"
"2026-09-16","3502","67"
"2026-09-17","3521","69"
"2026-09-18","3580","73"
"2026-09-19","3626","74"
"2026-09-20","3422","72"
"2026-09-21","3245","69"
"2026-09-22","3161","67"
"2026-09-23","3185","69"
"2026-09-24","3419","73"
"2026-09-25","3607","79"
"2026-09-26","3674","81"
"2026-09-27","3477","77"
"2026-09-28","3014","73"
"2026-09-29","2750","70"
"2026-09-30","2573","69"
"2026-10-01","2470","69"
"2026-10-02","2451","71"
"2026-10-03","2413","72"
"2026-10-04","2335","68"
"2026-10-05","2330","67"
"2026-10-06","2389","65"
"2026-10-07","2581","66"
"2026-10-08","2770","69"
"2026-10-09","3050","73"
"2026-10-10","3274","76"
"2026-10-11","3169","74"
"2026-10-12","2767","69"
"2026-10-13","2554","68"
"2026-10-14","2557","68"
"2026-10-15","2616","69"
"2026-10-16","2638","72"
"2026-10-17","2571","74"
"2026-10-18","2369","70"
"2026-10-19","2238","67"
"2026-10-20","2203","67"
"2026-10-21","2173","67"
"2026-10-22","2255","69"
"2026-10-23","2252","72"
"2026-10-24","2250","71"
"2026-10-25","2159","70"
"2026-10-26","2090","67"
"2026-10-27","2048","65"
"2026-10-28","2086","66"
"2026-10-29","2116","67"
"2026-10-30","2149","71"
"2026-10-31","2154","71"
"2026-11-01","2153","68"
"2026-11-02","2049","67"
"2026-11-03","1982","65"
"2026-11-04","2010","66"
"2026-11-05","2004","67"
"2026-11-06","2000","69"
"2026-11-07","1977","69"
"2026-11-08","1957","67"
"2026-11-09","1968","66"
"2026-11-10","1975","65"
"2026-11-11","1941","65"
"2026-11-12","1957","67"
"2026-11-13","1931","69"
"2026-11-14","1963","70"
"2026-11-15","1903","67"
"2026-11-16","1885","66"
"2026-11-17","1892","65"
"2026-11-18","1993","67"
"2026-11-19","2225","69"
"2026-11-20","2362","73"
"2026-11-21","2355","74"
"2026-11-22","2059","70"
"2026-11-23","1892","67"
"2026-11-24","1834","66"
"2026-11-25","1816","67"
"2026-11-26","1850","68"
"2026-11-27","1833","70"
"2026-11-28","1793","70"
"2026-11-29","1697","68"
"2026-11-30","1611","65"
