"Date","Booked Listings","Daily Rate"
"2026-06-08","5455","72"
"2026-06-09","4525","68"
"2026-06-10","4336","68"
"2026-06-11","4696","70"
"2026-06-12","5230","71"
"2026-06-13","5323","71"
"2026-06-14","4639","69"
"2026-06-15","3971","66"
"2026-06-16","3643","66"
"2026-06-17","3568","67"
"2026-06-18","3802","69"
"2026-06-19","4071","70"
"2026-06-20","4132","72"
"2026-06-21","3739","70"
"2026-06-22","3377","67"
"2026-06-23","3200","67"
"2026-06-24","3202","67"
"2026-06-25","3237","69"
"2026-06-26","3345","70"
"2026-06-27","3359","71"
"2026-06-28","3067","70"
"2026-06-29","2819","67"
"2026-06-30","2618","67"
"2026-07-01","2607","68"
"2026-07-02","2749","69"
"2026-07-03","2900","72"
"2026-07-04","2974","72"
"2026-07-05","2826","70"
"2026-07-06","2761","69"
"2026-07-07","2699","68"
"2026-07-08","2823","69"
"2026-07-09","3080","71"
"2026-07-10","3191","74"
"2026-07-11","3252","74"
"2026-07-12","2999","71"
"2026-07-13","2858","70"
"2026-07-14","2732","70"
"2026-07-15","2752","70"
"2026-07-16","2841","70"
"2026-07-17","2925","72"
"2026-07-18","3025","73"
"2026-07-19","2932","72"
"2026-07-20","2863","70"
"2026-07-21","2815","70"
"2026-07-22","2835","70"
"2026-07-23","2902","73"
"2026-07-24","3015","75"
"2026-07-25","3057","76"
"2026-07-26","2890","73"
"2026-07-27","2677","71"
"2026-07-28","2515","71"
"2026-07-29","2366","71"
"2026-07-30","2293","73"
"2026-07-31","2209","77"
"2026-08-01","2127","76"
"2026-08-02","1952","72"
"2026-08-03","1893","71"
"2026-08-04","1876","71"
"2026-08-05","1949","70"
"2026-08-06","2129","73"
"2026-08-07","2371","76"
"2026-08-08","2523","76"
"2026-08-09","2427","75"
"2026-08-10","2339","73"
"2026-08-11","2158","71"
"2026-08-12","2043","71"
"2026-08-13","2097","74"
"2026-08-14","2221","78"
"2026-08-15","2241","78"
"2026-08-16","2103","76"
"2026-08-17","1918","73"
"2026-08-18","1812","71"
"2026-08-19","1785","70"
"2026-08-20","1796","72"
"2026-08-21","1785","76"
"2026-08-22","1776","76"
"2026-08-23","1659","75"
"2026-08-24","1580","71"
"2026-08-25","1478","71"
"2026-08-26","1437","73"
"2026-08-27","1414","74"
"2026-08-28","1464","80"
"2026-08-29","1446","80"
"2026-08-30","1335","77"
"2026-08-31","1204","74"
"2026-09-01","1285","73"
"2026-09-02","1494","74"
"2026-09-03","1973","76"
"2026-09-04","2626","81"
"2026-09-05","2998","84"
"2026-09-06","2958","83"
"2026-09-07","2526","80"
"2026-09-08","2126","76"
"2026-09-09","2154","75"
"2026-09-10","2592","76"
"2026-09-11","2947","81"
"2026-09-12","2968","82"
"2026-09-13","2469","78"
"2026-09-14","1853","75"
"2026-09-15","1504","72"
"2026-09-16","1442","72"
"2026-09-17","1473","73"
"2026-09-18","1496","77"
"2026-09-19","1504","77"
"2026-09-20","1428","76"
"2026-09-21","1350","74"
"2026-09-22","1290","73"
"2026-09-23","1305","73"
"2026-09-24","1436","77"
"2026-09-25","1547","84"
"2026-09-26","1557","86"
"2026-09-27","1473","83"
"2026-09-28","1262","78"
"2026-09-29","1108","74"
"2026-09-30","1005","73"
"2026-10-01","1013","72"
"2026-10-02","1003","73"
"2026-10-03","995","73"
"2026-10-04","958","72"
"2026-10-05","961","70"
"2026-10-06","967","70"
"2026-10-07","1012","70"
"2026-10-08","1094","73"
"2026-10-09","1231","76"
"2026-10-10","1383","79"
"2026-10-11","1389","77"
"2026-10-12","1208","72"
"2026-10-13","1111","72"
"2026-10-14","1093","73"
"2026-10-15","1127","73"
"2026-10-16","1140","76"
"2026-10-17","1105","76"
"2026-10-18","1020","74"
"2026-10-19","938","71"
"2026-10-20","912","70"
"2026-10-21","898","71"
"2026-10-22","957","74"
"2026-10-23","948","76"
"2026-10-24","937","75"
"2026-10-25","910","74"
"2026-10-26","850","72"
"2026-10-27","816","71"
"2026-10-28","831","72"
"2026-10-29","854","73"
"2026-10-30","881","76"
"2026-10-31","880","75"
"2026-11-01","878","73"
"2026-11-02","832","73"
"2026-11-03","810","70"
"2026-11-04","820","70"
"2026-11-05","808","71"
"2026-11-06","815","73"
"2026-11-07","800","73"
"2026-11-08","809","73"
"2026-11-09","819","71"
"2026-11-10","825","70"
"2026-11-11","823","69"
"2026-11-12","827","71"
"2026-11-13","813","74"
"2026-11-14","822","74"
"2026-11-15","801","71"
"2026-11-16","782","70"
"2026-11-17","791","70"
"2026-11-18","843","71"
"2026-11-19","952","74"
"2026-11-20","1027","77"
"2026-11-21","1020","77"
"2026-11-22","863","73"
"2026-11-23","798","72"
"2026-11-24","764","73"
"2026-11-25","761","73"
"2026-11-26","786","74"
"2026-11-27","780","76"
"2026-11-28","766","76"
"2026-11-29","726","74"
"2026-11-30","679","71"
