"Date","Booked Listings","Daily Rate"
"2026-06-08","365","57"
"2026-06-09","337","54"
"2026-06-10","321","54"
"2026-06-11","329","55"
"2026-06-12","342","56"
"2026-06-13","341","56"
"2026-06-14","299","53"
"2026-06-15","289","51"
"2026-06-16","293","53"
"2026-06-17","282","53"
"2026-06-18","289","53"
"2026-06-19","283","54"
"2026-06-20","283","55"
"2026-06-21","270","53"
"2026-06-22","265","51"
"2026-06-23","261","50"
"2026-06-24","257","50"
"2026-06-25","251","52"
"2026-06-26","249","52"
"2026-06-27","243","51"
"2026-06-28","222","50"
"2026-06-29","226","51"
"2026-06-30","209","51"
"2026-07-01","197","53"
"2026-07-02","192","54"
"2026-07-03","196","56"
"2026-07-04","193","54"
"2026-07-05","184","53"
"2026-07-06","182","50"
"2026-07-07","181","51"
"2026-07-08","183","52"
"2026-07-09","188","54"
"2026-07-10","196","56"
"2026-07-11","198","56"
"2026-07-12","196","56"
"2026-07-13","191","54"
"2026-07-14","191","55"
"2026-07-15","185","54"
"2026-07-16","183","56"
"2026-07-17","182","56"
"2026-07-18","174","57"
"2026-07-19","173","56"
"2026-07-20","170","56"
"2026-07-21","167","56"
"2026-07-22","169","56"
"2026-07-23","169","56"
"2026-07-24","178","57"
"2026-07-25","174","57"
"2026-07-26","173","56"
"2026-07-27","164","55"
"2026-07-28","158","53"
"2026-07-29","158","53"
"2026-07-30","151","53"
"2026-07-31","146","54"
"2026-08-01","141","54"
"2026-08-02","136","52"
"2026-08-03","132","55"
"2026-08-04","140","52"
"2026-08-05","144","52"
"2026-08-06","148","56"
"2026-08-07","144","58"
"2026-08-08","143","58"
"2026-08-09","139","56"
"2026-08-10","138","56"
"2026-08-11","133","54"
"2026-08-12","125","52"
"2026-08-13","128","54"
"2026-08-14","141","58"
"2026-08-15","143","60"
"2026-08-16","121","57"
"2026-08-17","112","55"
"2026-08-18","115","56"
"2026-08-19","121","54"
"2026-08-20","119","55"
"2026-08-21","117","57"
"2026-08-22","116","59"
"2026-08-23","107","56"
"2026-08-24","99","56"
"2026-08-25","96","55"
"2026-08-26","98","52"
"2026-08-27","93","55"
"2026-08-28","91","57"
"2026-08-29","89","59"
"2026-08-30","88","55"
"2026-08-31","88","55"
"2026-09-01","98","54"
"2026-09-02","115","54"
"2026-09-03","135","56"
"2026-09-04","159","64"
"2026-09-05","182","65"
"2026-09-06","183","63"
"2026-09-07","157","60"
"2026-09-08","146","53"
"2026-09-09","148","54"
"2026-09-10","174","56"
"2026-09-11","185","61"
"2026-09-12","183","63"
"2026-09-13","157","58"
"2026-09-14","126","54"
"2026-09-15","110","52"
"2026-09-16","91","52"
"2026-09-17","88","54"
"2026-09-18","81","57"
"2026-09-19","83","58"
"2026-09-20","80","56"
"2026-09-21","83","55"
"2026-09-22","79","55"
"2026-09-23","77","56"
"2026-09-24","72","57"
"2026-09-25","67","57"
"2026-09-26","68","59"
"2026-09-27","66","58"
"2026-09-28","58","56"
"2026-09-29","60","55"
"2026-09-30","57","55"
"2026-10-01","62","56"
"2026-10-02","60","52"
"2026-10-03","62","52"
"2026-10-04","62","51"
"2026-10-05","64","52"
"2026-10-06","70","52"
"2026-10-07","72","54"
"2026-10-08","73","58"
"2026-10-09","66","52"
"2026-10-10","72","54"
"2026-10-11","75","54"
"2026-10-12","69","53"
"2026-10-13","74","52"
"2026-10-14","75","50"
"2026-10-15","75","52"
"2026-10-16","79","50"
"2026-10-17","76","50"
"2026-10-18","74","50"
"2026-10-19","74","52"
"2026-10-20","72","50"
"2026-10-21","71","51"
"2026-10-22","69","54"
"2026-10-23","67","56"
"2026-10-24","66","56"
"2026-10-25","65","50"
"2026-10-26","71","55"
"2026-10-27","69","55"
"2026-10-28","74","54"
"2026-10-29","70","59"
"2026-10-30","60","59"
"2026-10-31","60","61"
"2026-11-01","59","61"
"2026-11-02","56","58"
"2026-11-03","57","60"
"2026-11-04","60","55"
"2026-11-05","58","56"
"2026-11-06","54","59"
"2026-11-07","57","60"
"2026-11-08","55","54"
"2026-11-09","56","53"
"2026-11-10","59","55"
"2026-11-11","59","56"
"2026-11-12","57","61"
"2026-11-13","56","57"
"2026-11-14","54","58"
"2026-11-15","50","50"
"2026-11-16","50","51"
"2026-11-17","56","52"
"2026-11-18","56","52"
"2026-11-19","54","56"
"2026-11-20","53","57"
"2026-11-21","52","59"
"2026-11-22","49","55"
"2026-11-23","47","55"
"2026-11-24","50","55"
"2026-11-25","47","55"
"2026-11-26","48","55"
"2026-11-27","46","57"
"2026-11-28","49","62"
"2026-11-29","42","61"
"2026-11-30","41","55"
