"Date","Booked Listings","Daily Rate"
"2026-06-08","58","78"
"2026-06-09","57","72"
"2026-06-10","55","72"
"2026-06-11","55","82"
"2026-06-12","54","77"
"2026-06-13","54","77"
"2026-06-14","47","75"
"2026-06-15","47","75"
"2026-06-16","45","75"
"2026-06-17","44","74"
"2026-06-18","43","82"
"2026-06-19","40","77"
"2026-06-20","44","84"
"2026-06-21","41","78"
"2026-06-22","40","73"
"2026-06-23","43","77"
"2026-06-24","42","77"
"2026-06-25","40","79"
"2026-06-26","40","77"
"2026-06-27","38","76"
"2026-06-28","37","75"
"2026-06-29","40","73"
"2026-06-30","41","81"
"2026-07-01","37","79"
"2026-07-02","37","78"
"2026-07-03","36","75"
"2026-07-04","37","83"
"2026-07-05","39","78"
"2026-07-06","40","78"
"2026-07-07","36","75"
"2026-07-08","39","79"
"2026-07-09","42","79"
"2026-07-10","42","79"
"2026-07-11","41","79"
"2026-07-12","35","79"
"2026-07-13","32","74"
"2026-07-14","32","73"
"2026-07-15","33","78"
"2026-07-16","33","79"
"2026-07-17","29","76"
"2026-07-18","28","75"
"2026-07-19","30","75"
"2026-07-20","32","76"
"2026-07-21","31","83"
"2026-07-22","31","83"
"2026-07-23","31","84"
"2026-07-24","30","86"
"2026-07-25","28","86"
"2026-07-26","28","86"
"2026-07-27","30","86"
"2026-07-28","31","86"
"2026-07-29","29","86"
"2026-07-30","31","84"
"2026-07-31","26","86"
"2026-08-01","29","86"
"2026-08-02","29","86"
"2026-08-03","31","86"
"2026-08-04","30","83"
"2026-08-05","32","79"
"2026-08-06","34","79"
"2026-08-07","38","88"
"2026-08-08","37","89"
"2026-08-09","36","81"
"2026-08-10","32","78"
"2026-08-11","31","83"
"2026-08-12","30","91"
"2026-08-13","30","91"
"2026-08-14","31","93"
"2026-08-15","32","93"
"2026-08-16","26","91"
"2026-08-17","26","84"
"2026-08-18","25","89"
"2026-08-19","24","83"
"2026-08-20","24","89"
"2026-08-21","23","92"
"2026-08-22","22","92"
"2026-08-23","22","91"
"2026-08-24","23","93"
"2026-08-25","24","83"
"2026-08-26","25","83"
"2026-08-27","24","83"
"2026-08-28","24","91"
"2026-08-29","23","90"
"2026-08-30","22","75"
"2026-08-31","20","75"
"2026-09-01","22","66"
"2026-09-02","22","66"
"2026-09-03","22","60"
"2026-09-04","25","75"
"2026-09-05","29","88"
"2026-09-06","28","91"
"2026-09-07","27","76"
"2026-09-08","23","70"
"2026-09-09","25","72"
"2026-09-10","27","96"
"2026-09-11","24","93"
"2026-09-12","25","93"
"2026-09-13","24","88"
"2026-09-14","20","66"
"2026-09-15","20","60"
"2026-09-16","21","66"
"2026-09-17","22","72"
"2026-09-18","22","72"
"2026-09-19","25","89"
"2026-09-20","26","72"
"2026-09-21","28","67"
"2026-09-22","28","67"
"2026-09-23","28","67"
"2026-09-24","29","76"
"2026-09-25","29","81"
"2026-09-26","29","72"
"2026-09-27","28","67"
"2026-09-28","27","67"
"2026-09-29","26","66"
"2026-09-30","21","67"
"2026-10-01","15","53"
"2026-10-02","14","44"
"2026-10-03","14","44"
"2026-10-04","14","44"
"2026-10-05","16","49"
"2026-10-06","16","46"
"2026-10-07","12","60"
"2026-10-08","10","60"
"2026-10-09","9","66"
"2026-10-10","12","69"
"2026-10-11","11","66"
"2026-10-12","12","66"
"2026-10-13","12","66"
"2026-10-14","13","72"
"2026-10-15","12","66"
"2026-10-16","10","65"
"2026-10-17","10","66"
"2026-10-18","10","63"
"2026-10-19","10","63"
"2026-10-20","11","66"
"2026-10-21","11","66"
"2026-10-22","11","66"
"2026-10-23","10","65"
"2026-10-24","10","66"
"2026-10-25","9","63"
"2026-10-26","11","66"
"2026-10-27","11","66"
"2026-10-28","11","66"
"2026-10-29","10","65"
"2026-10-30","10","65"
"2026-10-31","11","69"
"2026-11-01","9","66"
"2026-11-02","10","66"
"2026-11-03","8","60"
"2026-11-04","9","66"
"2026-11-05","10","66"
"2026-11-06","8","60"
"2026-11-07","8","60"
"2026-11-08","7","60"
"2026-11-09","9","66"
"2026-11-10","9","66"
"2026-11-11","10","66"
"2026-11-12","10","66"
"2026-11-13","9","66"
"2026-11-14","8","60"
"2026-11-15","8","60"
"2026-11-16","9","66"
"2026-11-17","9","66"
"2026-11-18","9","66"
"2026-11-19","9","66"
"2026-11-20","7","60"
"2026-11-21","7","60"
"2026-11-22","6","44"
"2026-11-23","6","49"
"2026-11-24","6","44"
"2026-11-25","7","60"
"2026-11-26","7","60"
"2026-11-27","6","44"
"2026-11-28","6","44"
"2026-11-29","6","44"
"2026-11-30","7","49"
