"Date","Booked Listings","Daily Rate"
"2026-06-08","120","58"
"2026-06-09","103","56"
"2026-06-10","101","53"
"2026-06-11","104","49"
"2026-06-12","124","54"
"2026-06-13","114","54"
"2026-06-14","104","52"
"2026-06-15","97","49"
"2026-06-16","88","51"
"2026-06-17","82","51"
"2026-06-18","88","52"
"2026-06-19","91","54"
"2026-06-20","92","54"
"2026-06-21","89","54"
"2026-06-22","85","52"
"2026-06-23","86","52"
"2026-06-24","86","54"
"2026-06-25","86","55"
"2026-06-26","86","55"
"2026-06-27","84","55"
"2026-06-28","83","54"
"2026-06-29","80","49"
"2026-06-30","87","49"
"2026-07-01","87","48"
"2026-07-02","82","49"
"2026-07-03","82","54"
"2026-07-04","77","52"
"2026-07-05","80","49"
"2026-07-06","79","49"
"2026-07-07","80","49"
"2026-07-08","85","49"
"2026-07-09","88","52"
"2026-07-10","91","55"
"2026-07-11","93","53"
"2026-07-12","85","51"
"2026-07-13","81","49"
"2026-07-14","79","50"
"2026-07-15","76","51"
"2026-07-16","75","49"
"2026-07-17","73","51"
"2026-07-18","70","51"
"2026-07-19","70","49"
"2026-07-20","72","49"
"2026-07-21","68","49"
"2026-07-22","70","49"
"2026-07-23","72","51"
"2026-07-24","75","52"
"2026-07-25","76","52"
"2026-07-26","68","50"
"2026-07-27","69","50"
"2026-07-28","63","51"
"2026-07-29","59","49"
"2026-07-30","59","49"
"2026-07-31","54","49"
"2026-08-01","51","56"
"2026-08-02","45","56"
"2026-08-03","50","55"
"2026-08-04","48","52"
"2026-08-05","44","51"
"2026-08-06","47","51"
"2026-08-07","55","52"
"2026-08-08","64","53"
"2026-08-09","58","53"
"2026-08-10","56","53"
"2026-08-11","54","56"
"2026-08-12","47","58"
"2026-08-13","51","55"
"2026-08-14","50","54"
"2026-08-15","52","56"
"2026-08-16","46","51"
"2026-08-17","42","50"
"2026-08-18","41","51"
"2026-08-19","39","51"
"2026-08-20","38","56"
"2026-08-21","36","57"
"2026-08-22","36","57"
"2026-08-23","35","57"
"2026-08-24","39","57"
"2026-08-25","36","58"
"2026-08-26","34","58"
"2026-08-27","32","60"
"2026-08-28","29","65"
"2026-08-29","33","62"
"2026-08-30","32","53"
"2026-08-31","33","51"
"2026-09-01","43","50"
"2026-09-02","51","51"
"2026-09-03","60","58"
"2026-09-04","72","58"
"2026-09-05","77","59"
"2026-09-06","78","52"
"2026-09-07","71","48"
"2026-09-08","68","49"
"2026-09-09","69","49"
"2026-09-10","74","52"
"2026-09-11","82","55"
"2026-09-12","79","55"
"2026-09-13","63","52"
"2026-09-14","50","52"
"2026-09-15","44","52"
"2026-09-16","40","49"
"2026-09-17","41","52"
"2026-09-18","38","52"
"2026-09-19","39","52"
"2026-09-20","39","50"
"2026-09-21","38","48"
"2026-09-22","33","52"
"2026-09-23","30","53"
"2026-09-24","33","62"
"2026-09-25","35","62"
"2026-09-26","35","60"
"2026-09-27","32","53"
"2026-09-28","31","52"
"2026-09-29","30","53"
"2026-09-30","30","53"
"2026-10-01","27","54"
"2026-10-02","25","50"
"2026-10-03","25","56"
"2026-10-04","27","50"
"2026-10-05","29","51"
"2026-10-06","29","49"
"2026-10-07","31","51"
"2026-10-08","32","54"
"2026-10-09","30","51"
"2026-10-10","35","59"
"2026-10-11","36","57"
"2026-10-12","32","50"
"2026-10-13","29","50"
"2026-10-14","28","47"
"2026-10-15","27","50"
"2026-10-16","25","50"
"2026-10-17","24","49"
"2026-10-18","25","48"
"2026-10-19","25","46"
"2026-10-20","24","46"
"2026-10-21","23","50"
"2026-10-22","24","49"
"2026-10-23","24","49"
"2026-10-24","24","49"
"2026-10-25","24","48"
"2026-10-26","24","46"
"2026-10-27","24","46"
"2026-10-28","22","46"
"2026-10-29","24","46"
"2026-10-30","24","46"
"2026-10-31","25","48"
"2026-11-01","25","48"
"2026-11-02","23","48"
"2026-11-03","21","46"
"2026-11-04","20","42"
"2026-11-05","22","46"
"2026-11-06","25","49"
"2026-11-07","25","49"
"2026-11-08","23","47"
"2026-11-09","20","46"
"2026-11-10","20","42"
"2026-11-11","20","41"
"2026-11-12","20","41"
"2026-11-13","16","42"
"2026-11-14","16","42"
"2026-11-15","18","42"
"2026-11-16","17","43"
"2026-11-17","17","46"
"2026-11-18","17","46"
"2026-11-19","19","46"
"2026-11-20","18","46"
"2026-11-21","15","48"
"2026-11-22","15","48"
"2026-11-23","16","46"
"2026-11-24","16","46"
"2026-11-25","17","49"
"2026-11-26","17","49"
"2026-11-27","17","59"
"2026-11-28","20","56"
"2026-11-29","18","53"
"2026-11-30","17","46"
