"Date","Booked Listings","Daily Rate"
"2026-06-08","1302","116"
"2026-06-09","1149","111"
"2026-06-10","1133","113"
"2026-06-11","1257","113"
"2026-06-12","1401","117"
"2026-06-13","1412","116"
"2026-06-14","1207","111"
"2026-06-15","1007","109"
"2026-06-16","936","109"
"2026-06-17","931","109"
"2026-06-18","994","110"
"2026-06-19","1092","113"
"2026-06-20","1104","113"
"2026-06-21","952","110"
"2026-06-22","842","110"
"2026-06-23","820","110"
"2026-06-24","830","113"
"2026-06-25","838","115"
"2026-06-26","882","115"
"2026-06-27","887","115"
"2026-06-28","818","114"
"2026-06-29","757","113"
"2026-06-30","720","113"
"2026-07-01","684","116"
"2026-07-02","748","119"
"2026-07-03","819","123"
"2026-07-04","834","122"
"2026-07-05","797","121"
"2026-07-06","757","120"
"2026-07-07","758","119"
"2026-07-08","813","119"
"2026-07-09","894","121"
"2026-07-10","941","121"
"2026-07-11","938","124"
"2026-07-12","828","121"
"2026-07-13","772","118"
"2026-07-14","749","118"
"2026-07-15","751","117"
"2026-07-16","768","120"
"2026-07-17","819","125"
"2026-07-18","860","125"
"2026-07-19","823","123"
"2026-07-20","793","120"
"2026-07-21","786","120"
"2026-07-22","803","122"
"2026-07-23","817","122"
"2026-07-24","832","123"
"2026-07-25","840","125"
"2026-07-26","789","123"
"2026-07-27","774","121"
"2026-07-28","753","120"
"2026-07-29","727","118"
"2026-07-30","713","120"
"2026-07-31","706","126"
"2026-08-01","683","125"
"2026-08-02","636","122"
"2026-08-03","587","120"
"2026-08-04","572","122"
"2026-08-05","576","122"
"2026-08-06","635","124"
"2026-08-07","687","130"
"2026-08-08","733","126"
"2026-08-09","715","126"
"2026-08-10","688","125"
"2026-08-11","651","119"
"2026-08-12","630","121"
"2026-08-13","646","121"
"2026-08-14","705","133"
"2026-08-15","711","132"
"2026-08-16","643","125"
"2026-08-17","570","124"
"2026-08-18","529","124"
"2026-08-19","506","122"
"2026-08-20","509","127"
"2026-08-21","501","133"
"2026-08-22","485","130"
"2026-08-23","444","126"
"2026-08-24","416","124"
"2026-08-25","402","120"
"2026-08-26","396","117"
"2026-08-27","404","120"
"2026-08-28","412","130"
"2026-08-29","415","136"
"2026-08-30","378","125"
"2026-08-31","332","123"
"2026-09-01","320","114"
"2026-09-02","353","118"
"2026-09-03","456","125"
"2026-09-04","622","132"
"2026-09-05","722","135"
"2026-09-06","714","134"
"2026-09-07","637","131"
"2026-09-08","497","127"
"2026-09-09","484","125"
"2026-09-10","560","121"
"2026-09-11","642","125"
"2026-09-12","633","125"
"2026-09-13","540","119"
"2026-09-14","396","115"
"2026-09-15","336","110"
"2026-09-16","305","113"
"2026-09-17","311","119"
"2026-09-18","314","126"
"2026-09-19","315","125"
"2026-09-20","294","123"
"2026-09-21","270","120"
"2026-09-22","268","117"
"2026-09-23","298","123"
"2026-09-24","350","135"
"2026-09-25","396","143"
"2026-09-26","400","145"
"2026-09-27","376","141"
"2026-09-28","302","126"
"2026-09-29","269","124"
"2026-09-30","243","118"
"2026-10-01","239","123"
"2026-10-02","244","124"
"2026-10-03","236","126"
"2026-10-04","213","122"
"2026-10-05","211","122"
"2026-10-06","203","117"
"2026-10-07","231","122"
"2026-10-08","264","129"
"2026-10-09","321","138"
"2026-10-10","348","136"
"2026-10-11","341","139"
"2026-10-12","291","132"
"2026-10-13","256","117"
"2026-10-14","257","121"
"2026-10-15","258","120"
"2026-10-16","258","130"
"2026-10-17","248","138"
"2026-10-18","223","120"
"2026-10-19","214","114"
"2026-10-20","213","113"
"2026-10-21","205","109"
"2026-10-22","203","113"
"2026-10-23","203","114"
"2026-10-24","213","121"
"2026-10-25","209","121"
"2026-10-26","209","120"
"2026-10-27","201","115"
"2026-10-28","199","115"
"2026-10-29","199","116"
"2026-10-30","215","130"
"2026-10-31","217","126"
"2026-11-01","215","128"
"2026-11-02","199","118"
"2026-11-03","181","111"
"2026-11-04","183","119"
"2026-11-05","183","123"
"2026-11-06","189","126"
"2026-11-07","175","123"
"2026-11-08","171","118"
"2026-11-09","166","115"
"2026-11-10","174","115"
"2026-11-11","169","116"
"2026-11-12","180","119"
"2026-11-13","181","119"
"2026-11-14","188","124"
"2026-11-15","178","131"
"2026-11-16","190","123"
"2026-11-17","182","124"
"2026-11-18","195","124"
"2026-11-19","232","135"
"2026-11-20","239","139"
"2026-11-21","237","139"
"2026-11-22","212","135"
"2026-11-23","187","119"
"2026-11-24","183","119"
"2026-11-25","179","119"
"2026-11-26","174","119"
"2026-11-27","175","128"
"2026-11-28","163","131"
"2026-11-29","155","127"
"2026-11-30","143","115"
