"Date","Booked Listings","Daily Rate"
"2026-06-08","723","41"
"2026-06-09","641","39"
"2026-06-10","619","39"
"2026-06-11","616","39"
"2026-06-12","701","42"
"2026-06-13","678","42"
"2026-06-14","572","40"
"2026-06-15","509","39"
"2026-06-16","480","39"
"2026-06-17","458","39"
"2026-06-18","426","39"
"2026-06-19","456","41"
"2026-06-20","454","41"
"2026-06-21","418","39"
"2026-06-22","405","38"
"2026-06-23","400","38"
"2026-06-24","385","38"
"2026-06-25","376","39"
"2026-06-26","376","41"
"2026-06-27","385","41"
"2026-06-28","373","39"
"2026-06-29","355","38"
"2026-06-30","326","38"
"2026-07-01","297","38"
"2026-07-02","294","39"
"2026-07-03","301","41"
"2026-07-04","314","42"
"2026-07-05","300","39"
"2026-07-06","297","39"
"2026-07-07","301","39"
"2026-07-08","309","39"
"2026-07-09","328","40"
"2026-07-10","336","42"
"2026-07-11","345","42"
"2026-07-12","322","39"
"2026-07-13","301","38"
"2026-07-14","293","38"
"2026-07-15","299","38"
"2026-07-16","302","39"
"2026-07-17","300","41"
"2026-07-18","295","42"
"2026-07-19","291","39"
"2026-07-20","290","40"
"2026-07-21","285","40"
"2026-07-22","279","40"
"2026-07-23","282","41"
"2026-07-24","285","42"
"2026-07-25","296","41"
"2026-07-26","278","39"
"2026-07-27","267","37"
"2026-07-28","257","37"
"2026-07-29","239","38"
"2026-07-30","234","39"
"2026-07-31","222","42"
"2026-08-01","205","46"
"2026-08-02","190","43"
"2026-08-03","183","42"
"2026-08-04","183","42"
"2026-08-05","173","43"
"2026-08-06","202","43"
"2026-08-07","212","45"
"2026-08-08","220","45"
"2026-08-09","214","43"
"2026-08-10","202","42"
"2026-08-11","200","43"
"2026-08-12","189","43"
"2026-08-13","200","44"
"2026-08-14","191","44"
"2026-08-15","189","46"
"2026-08-16","174","43"
"2026-08-17","162","42"
"2026-08-18","169","43"
"2026-08-19","162","43"
"2026-08-20","169","44"
"2026-08-21","167","46"
"2026-08-22","163","45"
"2026-08-23","148","44"
"2026-08-24","151","44"
"2026-08-25","150","43"
"2026-08-26","148","44"
"2026-08-27","149","44"
"2026-08-28","137","45"
"2026-08-29","142","46"
"2026-08-30","133","43"
"2026-08-31","126","42"
"2026-09-01","158","42"
"2026-09-02","174","42"
"2026-09-03","197","43"
"2026-09-04","257","46"
"2026-09-05","317","46"
"2026-09-06","312","44"
"2026-09-07","264","44"
"2026-09-08","206","41"
"2026-09-09","233","41"
"2026-09-10","276","41"
"2026-09-11","315","46"
"2026-09-12","314","46"
"2026-09-13","255","44"
"2026-09-14","197","43"
"2026-09-15","161","41"
"2026-09-16","148","41"
"2026-09-17","149","42"
"2026-09-18","146","44"
"2026-09-19","145","45"
"2026-09-20","138","43"
"2026-09-21","132","42"
"2026-09-22","130","41"
"2026-09-23","120","42"
"2026-09-24","124","41"
"2026-09-25","121","45"
"2026-09-26","122","47"
"2026-09-27","121","43"
"2026-09-28","114","43"
"2026-09-29","107","42"
"2026-09-30","105","43"
"2026-10-01","115","43"
"2026-10-02","106","47"
"2026-10-03","106","46"
"2026-10-04","102","44"
"2026-10-05","104","40"
"2026-10-06","111","40"
"2026-10-07","110","41"
"2026-10-08","115","40"
"2026-10-09","122","47"
"2026-10-10","131","47"
"2026-10-11","129","46"
"2026-10-12","121","43"
"2026-10-13","111","41"
"2026-10-14","109","43"
"2026-10-15","111","43"
"2026-10-16","108","47"
"2026-10-17","109","47"
"2026-10-18","99","44"
"2026-10-19","100","42"
"2026-10-20","102","41"
"2026-10-21","96","42"
"2026-10-22","98","41"
"2026-10-23","95","46"
"2026-10-24","95","47"
"2026-10-25","92","41"
"2026-10-26","91","41"
"2026-10-27","93","41"
"2026-10-28","96","41"
"2026-10-29","94","42"
"2026-10-30","87","46"
"2026-10-31","97","48"
"2026-11-01","109","46"
"2026-11-02","108","47"
"2026-11-03","109","48"
"2026-11-04","104","48"
"2026-11-05","106","48"
"2026-11-06","97","47"
"2026-11-07","98","46"
"2026-11-08","93","45"
"2026-11-09","91","46"
"2026-11-10","100","44"
"2026-11-11","97","42"
"2026-11-12","94","42"
"2026-11-13","92","46"
"2026-11-14","96","46"
"2026-11-15","98","44"
"2026-11-16","99","44"
"2026-11-17","99","44"
"2026-11-18","100","45"
"2026-11-19","114","42"
"2026-11-20","114","46"
"2026-11-21","115","46"
"2026-11-22","110","44"
"2026-11-23","99","44"
"2026-11-24","96","44"
"2026-11-25","93","44"
"2026-11-26","95","45"
"2026-11-27","93","49"
"2026-11-28","90","48"
"2026-11-29","85","47"
"2026-11-30","80","46"
