"Date","Booked Listings","Daily Rate"
"2026-06-08","156","53"
"2026-06-09","140","50"
"2026-06-10","138","51"
"2026-06-11","141","52"
"2026-06-12","144","53"
"2026-06-13","142","53"
"2026-06-14","131","50"
"2026-06-15","121","48"
"2026-06-16","121","50"
"2026-06-17","123","50"
"2026-06-18","121","50"
"2026-06-19","128","53"
"2026-06-20","128","53"
"2026-06-21","112","50"
"2026-06-22","112","49"
"2026-06-23","111","49"
"2026-06-24","106","49"
"2026-06-25","108","50"
"2026-06-26","115","53"
"2026-06-27","114","53"
"2026-06-28","110","49"
"2026-06-29","105","48"
"2026-06-30","105","49"
"2026-07-01","98","45"
"2026-07-02","87","45"
"2026-07-03","92","45"
"2026-07-04","97","48"
"2026-07-05","96","45"
"2026-07-06","98","45"
"2026-07-07","100","48"
"2026-07-08","102","50"
"2026-07-09","100","49"
"2026-07-10","105","50"
"2026-07-11","110","53"
"2026-07-12","106","52"
"2026-07-13","102","50"
"2026-07-14","97","48"
"2026-07-15","103","48"
"2026-07-16","102","48"
"2026-07-17","101","53"
"2026-07-18","106","53"
"2026-07-19","101","53"
"2026-07-20","106","53"
"2026-07-21","104","52"
"2026-07-22","106","53"
"2026-07-23","105","53"
"2026-07-24","105","53"
"2026-07-25","94","53"
"2026-07-26","87","53"
"2026-07-27","84","50"
"2026-07-28","82","52"
"2026-07-29","80","52"
"2026-07-30","82","53"
"2026-07-31","80","55"
"2026-08-01","76","53"
"2026-08-02","71","52"
"2026-08-03","68","46"
"2026-08-04","64","45"
"2026-08-05","65","47"
"2026-08-06","64","46"
"2026-08-07","67","46"
"2026-08-08","67","48"
"2026-08-09","64","46"
"2026-08-10","63","46"
"2026-08-11","68","46"
"2026-08-12","70","49"
"2026-08-13","64","46"
"2026-08-14","67","53"
"2026-08-15","65","55"
"2026-08-16","62","53"
"2026-08-17","63","46"
"2026-08-18","58","46"
"2026-08-19","60","49"
"2026-08-20","59","52"
"2026-08-21","59","53"
"2026-08-22","59","53"
"2026-08-23","57","53"
"2026-08-24","57","52"
"2026-08-25","57","52"
"2026-08-26","53","52"
"2026-08-27","52","49"
"2026-08-28","53","53"
"2026-08-29","52","53"
"2026-08-30","50","52"
"2026-08-31","45","49"
"2026-09-01","43","46"
"2026-09-02","49","46"
"2026-09-03","53","53"
"2026-09-04","61","55"
"2026-09-05","69","55"
"2026-09-06","64","54"
"2026-09-07","57","53"
"2026-09-08","60","53"
"2026-09-09","62","54"
"2026-09-10","71","54"
"2026-09-11","78","53"
"2026-09-12","76","54"
"2026-09-13","68","53"
"2026-09-14","57","52"
"2026-09-15","47","53"
"2026-09-16","37","53"
"2026-09-17","37","52"
"2026-09-18","37","53"
"2026-09-19","37","53"
"2026-09-20","38","52"
"2026-09-21","40","51"
"2026-09-22","41","52"
"2026-09-23","41","52"
"2026-09-24","44","53"
"2026-09-25","43","53"
"2026-09-26","42","53"
"2026-09-27","40","51"
"2026-09-28","35","46"
"2026-09-29","32","46"
"2026-09-30","30","46"
"2026-10-01","31","47"
"2026-10-02","31","50"
"2026-10-03","31","47"
"2026-10-04","32","47"
"2026-10-05","32","45"
"2026-10-06","32","45"
"2026-10-07","35","47"
"2026-10-08","35","52"
"2026-10-09","36","52"
"2026-10-10","35","51"
"2026-10-11","31","46"
"2026-10-12","30","44"
"2026-10-13","31","50"
"2026-10-14","32","52"
"2026-10-15","33","53"
"2026-10-16","32","52"
"2026-10-17","32","52"
"2026-10-18","31","50"
"2026-10-19","34","50"
"2026-10-20","35","52"
"2026-10-21","35","53"
"2026-10-22","35","53"
"2026-10-23","36","53"
"2026-10-24","34","52"
"2026-10-25","34","50"
"2026-10-26","35","51"
"2026-10-27","36","52"
"2026-10-28","37","53"
"2026-10-29","36","52"
"2026-10-30","34","51"
"2026-10-31","30","51"
"2026-11-01","29","48"
"2026-11-02","28","48"
"2026-11-03","30","51"
"2026-11-04","32","53"
"2026-11-05","32","53"
"2026-11-06","32","53"
"2026-11-07","31","53"
"2026-11-08","30","52"
"2026-11-09","30","52"
"2026-11-10","29","52"
"2026-11-11","28","53"
"2026-11-12","30","53"
"2026-11-13","32","53"
"2026-11-14","31","53"
"2026-11-15","33","52"
"2026-11-16","34","52"
"2026-11-17","34","50"
"2026-11-18","34","52"
"2026-11-19","33","52"
"2026-11-20","30","52"
"2026-11-21","29","53"
"2026-11-22","29","47"
"2026-11-23","29","47"
"2026-11-24","30","47"
"2026-11-25","29","50"
"2026-11-26","30","52"
"2026-11-27","28","53"
"2026-11-28","25","53"
"2026-11-29","25","52"
"2026-11-30","27","53"
