"Date","Booked Listings","Daily Rate"
"2026-06-08","566","129"
"2026-06-09","491","124"
"2026-06-10","499","126"
"2026-06-11","597","129"
"2026-06-12","753","129"
"2026-06-13","753","129"
"2026-06-14","605","124"
"2026-06-15","455","118"
"2026-06-16","413","121"
"2026-06-17","411","126"
"2026-06-18","496","126"
"2026-06-19","580","130"
"2026-06-20","586","128"
"2026-06-21","479","124"
"2026-06-22","376","118"
"2026-06-23","359","122"
"2026-06-24","375","125"
"2026-06-25","380","131"
"2026-06-26","399","131"
"2026-06-27","416","130"
"2026-06-28","373","128"
"2026-06-29","330","129"
"2026-06-30","314","130"
"2026-07-01","326","133"
"2026-07-02","353","136"
"2026-07-03","387","138"
"2026-07-04","391","136"
"2026-07-05","351","133"
"2026-07-06","302","128"
"2026-07-07","309","129"
"2026-07-08","333","132"
"2026-07-09","382","134"
"2026-07-10","407","136"
"2026-07-11","417","137"
"2026-07-12","358","132"
"2026-07-13","307","132"
"2026-07-14","305","137"
"2026-07-15","325","137"
"2026-07-16","345","137"
"2026-07-17","370","140"
"2026-07-18","373","146"
"2026-07-19","354","144"
"2026-07-20","331","142"
"2026-07-21","353","139"
"2026-07-22","362","137"
"2026-07-23","378","142"
"2026-07-24","394","144"
"2026-07-25","392","142"
"2026-07-26","355","148"
"2026-07-27","311","139"
"2026-07-28","296","139"
"2026-07-29","294","140"
"2026-07-30","285","143"
"2026-07-31","265","147"
"2026-08-01","264","137"
"2026-08-02","229","138"
"2026-08-03","238","133"
"2026-08-04","228","133"
"2026-08-05","247","128"
"2026-08-06","277","136"
"2026-08-07","317","132"
"2026-08-08","317","136"
"2026-08-09","286","138"
"2026-08-10","261","130"
"2026-08-11","238","135"
"2026-08-12","230","137"
"2026-08-13","284","138"
"2026-08-14","375","138"
"2026-08-15","410","138"
"2026-08-16","339","136"
"2026-08-17","255","135"
"2026-08-18","226","134"
"2026-08-19","217","137"
"2026-08-20","224","145"
"2026-08-21","224","145"
"2026-08-22","223","152"
"2026-08-23","200","150"
"2026-08-24","197","135"
"2026-08-25","182","135"
"2026-08-26","173","138"
"2026-08-27","182","140"
"2026-08-28","191","141"
"2026-08-29","184","143"
"2026-08-30","168","130"
"2026-08-31","143","129"
"2026-09-01","129","125"
"2026-09-02","148","119"
"2026-09-03","202","124"
"2026-09-04","269","137"
"2026-09-05","307","138"
"2026-09-06","313","137"
"2026-09-07","267","131"
"2026-09-08","197","123"
"2026-09-09","166","117"
"2026-09-10","203","118"
"2026-09-11","220","125"
"2026-09-12","230","124"
"2026-09-13","192","115"
"2026-09-14","151","104"
"2026-09-15","124","108"
"2026-09-16","119","113"
"2026-09-17","126","124"
"2026-09-18","130","126"
"2026-09-19","137","133"
"2026-09-20","118","130"
"2026-09-21","110","125"
"2026-09-22","106","130"
"2026-09-23","103","128"
"2026-09-24","123","144"
"2026-09-25","153","155"
"2026-09-26","161","160"
"2026-09-27","146","157"
"2026-09-28","112","139"
"2026-09-29","96","135"
"2026-09-30","90","129"
"2026-10-01","88","122"
"2026-10-02","86","129"
"2026-10-03","85","126"
"2026-10-04","83","125"
"2026-10-05","72","118"
"2026-10-06","73","112"
"2026-10-07","79","109"
"2026-10-08","93","119"
"2026-10-09","100","122"
"2026-10-10","108","126"
"2026-10-11","113","139"
"2026-10-12","97","130"
"2026-10-13","77","134"
"2026-10-14","74","129"
"2026-10-15","76","135"
"2026-10-16","83","130"
"2026-10-17","81","134"
"2026-10-18","76","122"
"2026-10-19","69","119"
"2026-10-20","68","122"
"2026-10-21","76","117"
"2026-10-22","80","130"
"2026-10-23","90","128"
"2026-10-24","90","135"
"2026-10-25","84","126"
"2026-10-26","72","119"
"2026-10-27","60","112"
"2026-10-28","61","112"
"2026-10-29","70","112"
"2026-10-30","76","112"
"2026-10-31","81","114"
"2026-11-01","87","122"
"2026-11-02","76","118"
"2026-11-03","70","112"
"2026-11-04","73","118"
"2026-11-05","74","118"
"2026-11-06","78","122"
"2026-11-07","75","123"
"2026-11-08","71","135"
"2026-11-09","70","126"
"2026-11-10","73","130"
"2026-11-11","70","119"
"2026-11-12","73","118"
"2026-11-13","75","114"
"2026-11-14","83","123"
"2026-11-15","81","115"
"2026-11-16","73","112"
"2026-11-17","66","103"
"2026-11-18","71","102"
"2026-11-19","90","113"
"2026-11-20","95","115"
"2026-11-21","96","109"
"2026-11-22","88","113"
"2026-11-23","76","110"
"2026-11-24","72","108"
"2026-11-25","76","108"
"2026-11-26","80","110"
"2026-11-27","87","124"
"2026-11-28","82","122"
"2026-11-29","74","115"
"2026-11-30","63","107"
