"Date","Booked Listings","Daily Rate"
"2026-06-08","300","73"
"2026-06-09","252","68"
"2026-06-10","237","68"
"2026-06-11","248","69"
"2026-06-12","276","72"
"2026-06-13","286","72"
"2026-06-14","253","72"
"2026-06-15","222","71"
"2026-06-16","207","66"
"2026-06-17","208","64"
"2026-06-18","223","68"
"2026-06-19","231","70"
"2026-06-20","226","70"
"2026-06-21","206","68"
"2026-06-22","187","67"
"2026-06-23","189","66"
"2026-06-24","177","67"
"2026-06-25","189","68"
"2026-06-26","192","71"
"2026-06-27","194","69"
"2026-06-28","183","69"
"2026-06-29","169","67"
"2026-06-30","159","66"
"2026-07-01","150","65"
"2026-07-02","153","66"
"2026-07-03","153","67"
"2026-07-04","165","69"
"2026-07-05","164","68"
"2026-07-06","167","69"
"2026-07-07","168","67"
"2026-07-08","169","67"
"2026-07-09","186","67"
"2026-07-10","192","73"
"2026-07-11","183","72"
"2026-07-12","174","68"
"2026-07-13","172","68"
"2026-07-14","170","69"
"2026-07-15","171","68"
"2026-07-16","165","69"
"2026-07-17","164","72"
"2026-07-18","171","71"
"2026-07-19","172","71"
"2026-07-20","170","68"
"2026-07-21","171","67"
"2026-07-22","169","68"
"2026-07-23","177","70"
"2026-07-24","183","74"
"2026-07-25","175","75"
"2026-07-26","171","71"
"2026-07-27","160","68"
"2026-07-28","149","68"
"2026-07-29","146","69"
"2026-07-30","142","70"
"2026-07-31","144","80"
"2026-08-01","137","77"
"2026-08-02","129","74"
"2026-08-03","114","74"
"2026-08-04","109","69"
"2026-08-05","112","74"
"2026-08-06","120","74"
"2026-08-07","130","84"
"2026-08-08","133","81"
"2026-08-09","134","76"
"2026-08-10","128","74"
"2026-08-11","113","69"
"2026-08-12","105","69"
"2026-08-13","110","74"
"2026-08-14","119","82"
"2026-08-15","122","80"
"2026-08-16","117","75"
"2026-08-17","108","71"
"2026-08-18","101","67"
"2026-08-19","103","67"
"2026-08-20","105","72"
"2026-08-21","105","76"
"2026-08-22","101","73"
"2026-08-23","96","72"
"2026-08-24","89","68"
"2026-08-25","83","67"
"2026-08-26","79","67"
"2026-08-27","81","67"
"2026-08-28","85","81"
"2026-08-29","81","74"
"2026-08-30","82","71"
"2026-08-31","77","70"
"2026-09-01","84","68"
"2026-09-02","104","68"
"2026-09-03","118","68"
"2026-09-04","153","81"
"2026-09-05","167","83"
"2026-09-06","174","81"
"2026-09-07","158","78"
"2026-09-08","142","68"
"2026-09-09","149","69"
"2026-09-10","161","71"
"2026-09-11","174","73"
"2026-09-12","171","74"
"2026-09-13","145","73"
"2026-09-14","115","69"
"2026-09-15","93","67"
"2026-09-16","90","68"
"2026-09-17","91","71"
"2026-09-18","90","73"
"2026-09-19","88","73"
"2026-09-20","85","73"
"2026-09-21","86","68"
"2026-09-22","81","68"
"2026-09-23","79","68"
"2026-09-24","84","73"
"2026-09-25","84","81"
"2026-09-26","86","82"
"2026-09-27","84","81"
"2026-09-28","77","68"
"2026-09-29","68","65"
"2026-09-30","63","62"
"2026-10-01","60","68"
"2026-10-02","59","71"
"2026-10-03","59","72"
"2026-10-04","58","68"
"2026-10-05","61","68"
"2026-10-06","62","64"
"2026-10-07","66","64"
"2026-10-08","62","66"
"2026-10-09","66","71"
"2026-10-10","73","71"
"2026-10-11","74","70"
"2026-10-12","65","68"
"2026-10-13","66","65"
"2026-10-14","65","66"
"2026-10-15","65","66"
"2026-10-16","62","69"
"2026-10-17","60","69"
"2026-10-18","57","68"
"2026-10-19","59","68"
"2026-10-20","55","67"
"2026-10-21","56","67"
"2026-10-22","54","68"
"2026-10-23","54","71"
"2026-10-24","53","71"
"2026-10-25","54","69"
"2026-10-26","52","67"
"2026-10-27","53","67"
"2026-10-28","55","67"
"2026-10-29","55","68"
"2026-10-30","51","71"
"2026-10-31","49","71"
"2026-11-01","50","69"
"2026-11-02","52","68"
"2026-11-03","52","67"
"2026-11-04","49","67"
"2026-11-05","53","68"
"2026-11-06","50","70"
"2026-11-07","52","73"
"2026-11-08","51","73"
"2026-11-09","53","71"
"2026-11-10","51","69"
"2026-11-11","51","69"
"2026-11-12","48","71"
"2026-11-13","48","77"
"2026-11-14","48","77"
"2026-11-15","48","75"
"2026-11-16","50","71"
"2026-11-17","49","69"
"2026-11-18","51","67"
"2026-11-19","56","73"
"2026-11-20","52","75"
"2026-11-21","54","76"
"2026-11-22","50","73"
"2026-11-23","42","67"
"2026-11-24","40","66"
"2026-11-25","38","67"
"2026-11-26","37","67"
"2026-11-27","36","71"
"2026-11-28","36","71"
"2026-11-29","38","72"
"2026-11-30","41","71"
