"Date","Booked Listings","Daily Rate"
"2026-06-08","452","46"
"2026-06-09","403","43"
"2026-06-10","391","43"
"2026-06-11","395","44"
"2026-06-12","425","47"
"2026-06-13","427","48"
"2026-06-14","348","45"
"2026-06-15","316","44"
"2026-06-16","302","44"
"2026-06-17","285","44"
"2026-06-18","278","44"
"2026-06-19","292","45"
"2026-06-20","302","47"
"2026-06-21","283","44"
"2026-06-22","275","42"
"2026-06-23","265","43"
"2026-06-24","269","43"
"2026-06-25","264","44"
"2026-06-26","270","48"
"2026-06-27","277","48"
"2026-06-28","262","46"
"2026-06-29","246","43"
"2026-06-30","230","42"
"2026-07-01","224","43"
"2026-07-02","218","44"
"2026-07-03","234","43"
"2026-07-04","245","45"
"2026-07-05","234","44"
"2026-07-06","221","44"
"2026-07-07","225","44"
"2026-07-08","226","45"
"2026-07-09","241","46"
"2026-07-10","242","47"
"2026-07-11","248","48"
"2026-07-12","241","46"
"2026-07-13","236","45"
"2026-07-14","230","44"
"2026-07-15","226","44"
"2026-07-16","218","40"
"2026-07-17","212","43"
"2026-07-18","219","46"
"2026-07-19","214","44"
"2026-07-20","201","45"
"2026-07-21","198","45"
"2026-07-22","193","44"
"2026-07-23","201","44"
"2026-07-24","210","47"
"2026-07-25","220","48"
"2026-07-26","203","45"
"2026-07-27","207","45"
"2026-07-28","198","44"
"2026-07-29","195","45"
"2026-07-30","191","46"
"2026-07-31","186","47"
"2026-08-01","166","48"
"2026-08-02","169","49"
"2026-08-03","166","47"
"2026-08-04","170","48"
"2026-08-05","175","48"
"2026-08-06","169","48"
"2026-08-07","171","52"
"2026-08-08","177","52"
"2026-08-09","183","51"
"2026-08-10","175","51"
"2026-08-11","170","49"
"2026-08-12","169","49"
"2026-08-13","167","49"
"2026-08-14","166","50"
"2026-08-15","160","52"
"2026-08-16","150","50"
"2026-08-17","140","52"
"2026-08-18","131","52"
"2026-08-19","125","52"
"2026-08-20","129","49"
"2026-08-21","128","50"
"2026-08-22","129","52"
"2026-08-23","127","51"
"2026-08-24","120","52"
"2026-08-25","117","52"
"2026-08-26","112","49"
"2026-08-27","111","52"
"2026-08-28","118","52"
"2026-08-29","115","52"
"2026-08-30","110","50"
"2026-08-31","110","52"
"2026-09-01","130","49"
"2026-09-02","131","49"
"2026-09-03","135","49"
"2026-09-04","174","51"
"2026-09-05","202","53"
"2026-09-06","205","54"
"2026-09-07","174","53"
"2026-09-08","158","50"
"2026-09-09","172","48"
"2026-09-10","201","52"
"2026-09-11","204","53"
"2026-09-12","202","55"
"2026-09-13","172","54"
"2026-09-14","144","53"
"2026-09-15","124","53"
"2026-09-16","109","49"
"2026-09-17","103","52"
"2026-09-18","115","60"
"2026-09-19","117","59"
"2026-09-20","118","55"
"2026-09-21","97","50"
"2026-09-22","99","50"
"2026-09-23","96","52"
"2026-09-24","106","53"
"2026-09-25","108","54"
"2026-09-26","111","59"
"2026-09-27","102","56"
"2026-09-28","94","55"
"2026-09-29","92","52"
"2026-09-30","87","52"
"2026-10-01","85","50"
"2026-10-02","85","52"
"2026-10-03","92","53"
"2026-10-04","94","53"
"2026-10-05","92","53"
"2026-10-06","87","50"
"2026-10-07","86","48"
"2026-10-08","95","51"
"2026-10-09","97","51"
"2026-10-10","103","53"
"2026-10-11","102","51"
"2026-10-12","87","50"
"2026-10-13","86","47"
"2026-10-14","85","50"
"2026-10-15","83","48"
"2026-10-16","94","55"
"2026-10-17","97","52"
"2026-10-18","86","48"
"2026-10-19","80","47"
"2026-10-20","75","46"
"2026-10-21","73","45"
"2026-10-22","74","45"
"2026-10-23","76","47"
"2026-10-24","78","47"
"2026-10-25","77","47"
"2026-10-26","74","46"
"2026-10-27","76","47"
"2026-10-28","78","48"
"2026-10-29","75","47"
"2026-10-30","80","50"
"2026-10-31","78","50"
"2026-11-01","77","50"
"2026-11-02","75","47"
"2026-11-03","73","47"
"2026-11-04","77","46"
"2026-11-05","78","45"
"2026-11-06","76","48"
"2026-11-07","77","50"
"2026-11-08","72","48"
"2026-11-09","71","48"
"2026-11-10","71","49"
"2026-11-11","66","46"
"2026-11-12","64","45"
"2026-11-13","66","49"
"2026-11-14","69","50"
"2026-11-15","66","48"
"2026-11-16","66","46"
"2026-11-17","68","47"
"2026-11-18","64","47"
"2026-11-19","64","47"
"2026-11-20","81","58"
"2026-11-21","80","53"
"2026-11-22","76","53"
"2026-11-23","72","52"
"2026-11-24","63","48"
"2026-11-25","64","44"
"2026-11-26","67","48"
"2026-11-27","62","51"
"2026-11-28","62","50"
"2026-11-29","65","50"
"2026-11-30","62","48"
