"Date","Booked Listings","Daily Rate"
"2026-06-08","158","57"
"2026-06-09","140","56"
"2026-06-10","131","57"
"2026-06-11","131","57"
"2026-06-12","151","62"
"2026-06-13","152","62"
"2026-06-14","125","57"
"2026-06-15","89","54"
"2026-06-16","83","52"
"2026-06-17","93","54"
"2026-06-18","89","56"
"2026-06-19","94","58"
"2026-06-20","86","59"
"2026-06-21","77","59"
"2026-06-22","81","57"
"2026-06-23","81","52"
"2026-06-24","79","53"
"2026-06-25","79","56"
"2026-06-26","82","61"
"2026-06-27","86","65"
"2026-06-28","73","59"
"2026-06-29","71","57"
"2026-06-30","65","57"
"2026-07-01","62","56"
"2026-07-02","65","57"
"2026-07-03","72","57"
"2026-07-04","74","58"
"2026-07-05","67","56"
"2026-07-06","66","56"
"2026-07-07","64","57"
"2026-07-08","56","60"
"2026-07-09","64","59"
"2026-07-10","72","64"
"2026-07-11","77","64"
"2026-07-12","63","64"
"2026-07-13","71","60"
"2026-07-14","69","59"
"2026-07-15","66","58"
"2026-07-16","64","58"
"2026-07-17","63","66"
"2026-07-18","66","66"
"2026-07-19","71","60"
"2026-07-20","58","61"
"2026-07-21","63","60"
"2026-07-22","71","59"
"2026-07-23","69","58"
"2026-07-24","63","61"
"2026-07-25","68","61"
"2026-07-26","62","59"
"2026-07-27","55","61"
"2026-07-28","51","62"
"2026-07-29","51","60"
"2026-07-30","45","60"
"2026-07-31","44","70"
"2026-08-01","45","62"
"2026-08-02","43","60"
"2026-08-03","45","57"
"2026-08-04","45","55"
"2026-08-05","43","55"
"2026-08-06","42","50"
"2026-08-07","49","63"
"2026-08-08","50","65"
"2026-08-09","46","61"
"2026-08-10","46","58"
"2026-08-11","47","62"
"2026-08-12","47","62"
"2026-08-13","42","57"
"2026-08-14","41","68"
"2026-08-15","44","68"
"2026-08-16","44","61"
"2026-08-17","41","56"
"2026-08-18","42","57"
"2026-08-19","43","57"
"2026-08-20","38","52"
"2026-08-21","37","58"
"2026-08-22","36","58"
"2026-08-23","32","49"
"2026-08-24","32","50"
"2026-08-25","34","63"
"2026-08-26","35","61"
"2026-08-27","33","54"
"2026-08-28","33","60"
"2026-08-29","32","60"
"2026-08-30","34","50"
"2026-08-31","35","61"
"2026-09-01","39","62"
"2026-09-02","40","62"
"2026-09-03","42","60"
"2026-09-04","77","68"
"2026-09-05","93","68"
"2026-09-06","95","64"
"2026-09-07","72","61"
"2026-09-08","58","58"
"2026-09-09","61","56"
"2026-09-10","88","60"
"2026-09-11","101","66"
"2026-09-12","105","65"
"2026-09-13","75","61"
"2026-09-14","53","63"
"2026-09-15","36","61"
"2026-09-16","33","60"
"2026-09-17","27","61"
"2026-09-18","27","65"
"2026-09-19","28","63"
"2026-09-20","26","50"
"2026-09-21","27","59"
"2026-09-22","30","57"
"2026-09-23","28","61"
"2026-09-24","25","56"
"2026-09-25","26","60"
"2026-09-26","28","59"
"2026-09-27","26","51"
"2026-09-28","23","61"
"2026-09-29","21","61"
"2026-09-30","22","60"
"2026-10-01","20","50"
"2026-10-02","22","64"
"2026-10-03","23","69"
"2026-10-04","23","60"
"2026-10-05","25","60"
"2026-10-06","26","70"
"2026-10-07","31","62"
"2026-10-08","30","59"
"2026-10-09","29","62"
"2026-10-10","28","60"
"2026-10-11","26","48"
"2026-10-12","24","48"
"2026-10-13","24","60"
"2026-10-14","25","57"
"2026-10-15","26","48"
"2026-10-16","25","58"
"2026-10-17","23","68"
"2026-10-18","22","63"
"2026-10-19","26","63"
"2026-10-20","26","62"
"2026-10-21","25","67"
"2026-10-22","23","60"
"2026-10-23","24","60"
"2026-10-24","24","60"
"2026-10-25","21","61"
"2026-10-26","23","71"
"2026-10-27","24","60"
"2026-10-28","24","64"
"2026-10-29","21","63"
"2026-10-30","18","74"
"2026-10-31","17","65"
"2026-11-01","20","52"
"2026-11-02","18","49"
"2026-11-03","20","59"
"2026-11-04","21","58"
"2026-11-05","19","55"
"2026-11-06","18","64"
"2026-11-07","16","71"
"2026-11-08","18","65"
"2026-11-09","22","56"
"2026-11-10","25","71"
"2026-11-11","22","65"
"2026-11-12","19","49"
"2026-11-13","18","50"
"2026-11-14","17","58"
"2026-11-15","17","54"
"2026-11-16","18","52"
"2026-11-17","22","57"
"2026-11-18","21","65"
"2026-11-19","19","57"
"2026-11-20","20","60"
"2026-11-21","18","62"
"2026-11-22","12","46"
"2026-11-23","17","52"
"2026-11-24","19","54"
"2026-11-25","18","50"
"2026-11-26","15","44"
"2026-11-27","14","55"
"2026-11-28","12","53"
"2026-11-29","12","43"
"2026-11-30","12","42"
