"Date","Booked Listings","Daily Rate"
"2026-06-08","25","113"
"2026-06-09","23","84"
"2026-06-10","20","85"
"2026-06-11","21","93"
"2026-06-12","20","86"
"2026-06-13","22","89"
"2026-06-14","18","93"
"2026-06-15","16","92"
"2026-06-16","12","50"
"2026-06-17","13","114"
"2026-06-18","19","109"
"2026-06-19","18","98"
"2026-06-20","18","143"
"2026-06-21","16","111"
"2026-06-22","8","50"
"2026-06-23","7","50"
"2026-06-24","6","49"
"2026-06-25","7","50"
"2026-06-26","7","50"
"2026-06-27","8","49"
"2026-06-28","8","49"
"2026-06-29","8","49"
"2026-06-30","8","50"
"2026-07-01","9","101"
"2026-07-02","9","101"
"2026-07-03","9","102"
"2026-07-04","10","66"
"2026-07-05","10","60"
"2026-07-06","9","83"
"2026-07-07","10","60"
"2026-07-08","9","60"
"2026-07-09","11","60"
"2026-07-10","13","89"
"2026-07-11","13","87"
"2026-07-12","12","95"
"2026-07-13","9","83"
"2026-07-14","8","83"
"2026-07-15","7","89"
"2026-07-16","11","125"
"2026-07-17","11","116"
"2026-07-18","11","106"
"2026-07-19","8","60"
"2026-07-20","6","58"
"2026-07-21","6","60"
"2026-07-22","6","58"
"2026-07-23","7","60"
"2026-07-24","8","61"
"2026-07-25","10","61"
"2026-07-26","9","60"
"2026-07-27","9","58"
"2026-07-28","5","60"
"2026-07-29","5","60"
"2026-07-30","7","110"
"2026-07-31","7","117"
"2026-08-01","8","109"
"2026-08-02","5","285"
"2026-08-03","5","85"
"2026-08-04","5","85"
"2026-08-05","6","73"
"2026-08-06","8","269"
"2026-08-07","9","269"
"2026-08-08","9","269"
"2026-08-09","9","194"
"2026-08-10","6","82"
"2026-08-11","4","60"
"2026-08-12","7","461"
"2026-08-13","8","461"
"2026-08-14","10","240"
"2026-08-15","11","242"
"2026-08-16","12","250"
"2026-08-17","7","118"
"2026-08-18","6","88"
"2026-08-19","6","88"
"2026-08-20","7","118"
"2026-08-21","9","130"
"2026-08-22","8","118"
"2026-08-23","5","118"
"2026-08-24","6","118"
"2026-08-25","6","118"
"2026-08-26","7","118"
"2026-08-27","6","60"
"2026-08-28","10","270"
"2026-08-29","10","274"
"2026-08-30","10","261"
"2026-08-31","9","261"
"2026-09-01","8","248"
"2026-09-02","6","60"
"2026-09-03","10","105"
"2026-09-04","16","95"
"2026-09-05","17","73"
"2026-09-06","19","60"
"2026-09-07","15","49"
"2026-09-08","6","43"
"2026-09-09","7","47"
"2026-09-10","15","60"
"2026-09-11","15","66"
"2026-09-12","16","66"
"2026-09-13","6","44"
"2026-09-14","2","32"
"2026-09-15","5","60"
"2026-09-16","6","60"
"2026-09-17","9","112"
"2026-09-18","10","112"
"2026-09-19","10","112"
"2026-09-20","8","108"
"2026-09-21","6","60"
"2026-09-22","4","39"
"2026-09-23","5","60"
"2026-09-24","7","269"
"2026-09-25","9","285"
"2026-09-26","10","352"
"2026-09-27","8","315"
"2026-09-28","8","269"
"2026-09-29","5","60"
"2026-09-30","3","39"
"2026-10-01","4","39"
"2026-10-02","4","39"
"2026-10-03","4","39"
"2026-10-04","5","42"
"2026-10-05","5","60"
"2026-10-06","6","60"
"2026-10-07","6","54"
"2026-10-08","8","60"
"2026-10-09","12","247"
"2026-10-10","14","153"
"2026-10-11","14","150"
"2026-10-12","12","104"
"2026-10-13","7","1135"
"2026-10-14","6","152"
"2026-10-15","5","155"
"2026-10-16","5","1677"
"2026-10-17","5","1677"
"2026-10-18","5","1677"
"2026-10-19","5","1134"
"2026-10-20","4","150"
"2026-10-21","4","150"
"2026-10-22","4","153"
"2026-10-23","4","153"
"2026-10-24","3","1131"
"2026-10-25","3","1139"
"2026-10-26","5","150"
"2026-10-27","6","150"
"2026-10-28","6","150"
"2026-10-29","6","43"
"2026-10-30","7","153"
"2026-10-31","8","61"
"2026-11-01","7","61"
"2026-11-02","6","43"
"2026-11-03","5","802"
"2026-11-04","6","281"
"2026-11-05","6","266"
"2026-11-06","6","266"
"2026-11-07","6","266"
"2026-11-08","5","801"
"2026-11-09","4","266"
"2026-11-10","2","35"
"2026-11-11","3","281"
"2026-11-12","3","266"
"2026-11-13","2","43"
"2026-11-14","2","43"
"2026-11-15","1","37"
"2026-11-16","1","35"
"2026-11-17","1","35"
"2026-11-18","2","35"
"2026-11-19","5","928"
"2026-11-20","6","562"
"2026-11-21","6","562"
"2026-11-22","6","562"
"2026-11-23","3","928"
"2026-11-24","1","35"
"2026-11-25","1","35"
"2026-11-26","2","35"
"2026-11-27","2","43"
"2026-11-28","2","44"
"2026-11-29","1","37"
"2026-11-30","1","35"
