"Date","Booked Listings","Daily Rate"
"2026-06-08","58","70"
"2026-06-09","52","71"
"2026-06-10","44","69"
"2026-06-11","47","73"
"2026-06-12","57","71"
"2026-06-13","54","69"
"2026-06-14","44","69"
"2026-06-15","47","72"
"2026-06-16","46","68"
"2026-06-17","45","69"
"2026-06-18","45","70"
"2026-06-19","49","71"
"2026-06-20","49","69"
"2026-06-21","44","65"
"2026-06-22","39","64"
"2026-06-23","40","63"
"2026-06-24","41","64"
"2026-06-25","41","64"
"2026-06-26","40","63"
"2026-06-27","38","63"
"2026-06-28","37","67"
"2026-06-29","39","70"
"2026-06-30","33","73"
"2026-07-01","27","69"
"2026-07-02","29","69"
"2026-07-03","29","69"
"2026-07-04","31","69"
"2026-07-05","31","69"
"2026-07-06","30","75"
"2026-07-07","32","72"
"2026-07-08","33","75"
"2026-07-09","35","72"
"2026-07-10","33","69"
"2026-07-11","32","66"
"2026-07-12","25","65"
"2026-07-13","27","68"
"2026-07-14","28","72"
"2026-07-15","31","76"
"2026-07-16","36","75"
"2026-07-17","36","73"
"2026-07-18","28","68"
"2026-07-19","30","68"
"2026-07-20","40","69"
"2026-07-21","37","69"
"2026-07-22","40","69"
"2026-07-23","41","69"
"2026-07-24","40","69"
"2026-07-25","40","66"
"2026-07-26","43","72"
"2026-07-27","39","69"
"2026-07-28","38","67"
"2026-07-29","39","67"
"2026-07-30","41","67"
"2026-07-31","37","67"
"2026-08-01","34","67"
"2026-08-02","23","66"
"2026-08-03","22","64"
"2026-08-04","22","64"
"2026-08-05","23","66"
"2026-08-06","22","64"
"2026-08-07","30","69"
"2026-08-08","32","69"
"2026-08-09","34","68"
"2026-08-10","32","66"
"2026-08-11","28","64"
"2026-08-12","29","55"
"2026-08-13","28","64"
"2026-08-14","20","64"
"2026-08-15","19","66"
"2026-08-16","20","66"
"2026-08-17","19","64"
"2026-08-18","23","64"
"2026-08-19","23","68"
"2026-08-20","23","66"
"2026-08-21","24","69"
"2026-08-22","26","75"
"2026-08-23","23","77"
"2026-08-24","20","69"
"2026-08-25","16","75"
"2026-08-26","16","69"
"2026-08-27","17","75"
"2026-08-28","18","69"
"2026-08-29","19","75"
"2026-08-30","18","73"
"2026-08-31","14","69"
"2026-09-01","14","75"
"2026-09-02","16","64"
"2026-09-03","21","63"
"2026-09-04","24","63"
"2026-09-05","28","69"
"2026-09-06","28","69"
"2026-09-07","21","80"
"2026-09-08","18","75"
"2026-09-09","17","75"
"2026-09-10","23","64"
"2026-09-11","25","64"
"2026-09-12","28","69"
"2026-09-13","29","73"
"2026-09-14","22","69"
"2026-09-15","21","69"
"2026-09-16","14","64"
"2026-09-17","15","69"
"2026-09-18","14","75"
"2026-09-19","15","75"
"2026-09-20","14","70"
"2026-09-21","13","69"
"2026-09-22","12","69"
"2026-09-23","13","69"
"2026-09-24","12","64"
"2026-09-25","15","75"
"2026-09-26","16","69"
"2026-09-27","16","69"
"2026-09-28","13","73"
"2026-09-29","13","73"
"2026-09-30","13","73"
"2026-10-01","13","69"
"2026-10-02","12","64"
"2026-10-03","12","64"
"2026-10-04","13","67"
"2026-10-05","14","67"
"2026-10-06","12","64"
"2026-10-07","14","67"
"2026-10-08","13","67"
"2026-10-09","14","67"
"2026-10-10","15","68"
"2026-10-11","15","68"
"2026-10-12","14","67"
"2026-10-13","11","64"
"2026-10-14","9","64"
"2026-10-15","10","55"
"2026-10-16","12","64"
"2026-10-17","12","67"
"2026-10-18","12","64"
"2026-10-19","12","64"
"2026-10-20","12","64"
"2026-10-21","10","54"
"2026-10-22","10","54"
"2026-10-23","11","63"
"2026-10-24","11","63"
"2026-10-25","9","64"
"2026-10-26","10","53"
"2026-10-27","10","53"
"2026-10-28","9","53"
"2026-10-29","9","54"
"2026-10-30","10","63"
"2026-10-31","10","64"
"2026-11-01","13","64"
"2026-11-02","12","64"
"2026-11-03","10","60"
"2026-11-04","10","53"
"2026-11-05","10","53"
"2026-11-06","11","64"
"2026-11-07","11","64"
"2026-11-08","10","53"
"2026-11-09","9","53"
"2026-11-10","10","53"
"2026-11-11","10","53"
"2026-11-12","12","58"
"2026-11-13","12","64"
"2026-11-14","12","64"
"2026-11-15","12","58"
"2026-11-16","11","58"
"2026-11-17","13","58"
"2026-11-18","13","58"
"2026-11-19","13","57"
"2026-11-20","15","64"
"2026-11-21","15","63"
"2026-11-22","14","58"
"2026-11-23","13","57"
"2026-11-24","11","57"
"2026-11-25","9","57"
"2026-11-26","9","57"
"2026-11-27","8","64"
"2026-11-28","8","64"
"2026-11-29","8","57"
"2026-11-30","7","64"
