"Date","Booked Listings","Daily Rate"
"2026-06-08","85","57"
"2026-06-09","77","55"
"2026-06-10","75","55"
"2026-06-11","84","51"
"2026-06-12","104","60"
"2026-06-13","108","60"
"2026-06-14","84","55"
"2026-06-15","64","53"
"2026-06-16","52","52"
"2026-06-17","54","52"
"2026-06-18","54","53"
"2026-06-19","58","44"
"2026-06-20","66","50"
"2026-06-21","61","47"
"2026-06-22","51","47"
"2026-06-23","45","50"
"2026-06-24","49","50"
"2026-06-25","41","47"
"2026-06-26","46","52"
"2026-06-27","51","55"
"2026-06-28","48","46"
"2026-06-29","44","47"
"2026-06-30","34","50"
"2026-07-01","38","50"
"2026-07-02","39","55"
"2026-07-03","42","58"
"2026-07-04","35","56"
"2026-07-05","33","52"
"2026-07-06","32","52"
"2026-07-07","29","52"
"2026-07-08","36","53"
"2026-07-09","38","53"
"2026-07-10","35","54"
"2026-07-11","34","50"
"2026-07-12","35","50"
"2026-07-13","31","50"
"2026-07-14","30","47"
"2026-07-15","30","49"
"2026-07-16","36","62"
"2026-07-17","38","63"
"2026-07-18","42","63"
"2026-07-19","43","66"
"2026-07-20","46","75"
"2026-07-21","53","67"
"2026-07-22","61","67"
"2026-07-23","61","71"
"2026-07-24","59","76"
"2026-07-25","53","79"
"2026-07-26","51","76"
"2026-07-27","47","71"
"2026-07-28","43","62"
"2026-07-29","43","59"
"2026-07-30","42","59"
"2026-07-31","44","74"
"2026-08-01","40","69"
"2026-08-02","34","61"
"2026-08-03","34","63"
"2026-08-04","34","62"
"2026-08-05","32","69"
"2026-08-06","31","68"
"2026-08-07","35","69"
"2026-08-08","35","73"
"2026-08-09","34","72"
"2026-08-10","34","68"
"2026-08-11","34","58"
"2026-08-12","33","66"
"2026-08-13","33","69"
"2026-08-14","36","81"
"2026-08-15","35","66"
"2026-08-16","32","66"
"2026-08-17","31","66"
"2026-08-18","29","66"
"2026-08-19","28","66"
"2026-08-20","29","81"
"2026-08-21","27","81"
"2026-08-22","25","81"
"2026-08-23","22","59"
"2026-08-24","27","61"
"2026-08-25","23","72"
"2026-08-26","22","76"
"2026-08-27","24","73"
"2026-08-28","29","76"
"2026-08-29","31","69"
"2026-08-30","29","69"
"2026-08-31","27","60"
"2026-09-01","24","50"
"2026-09-02","26","53"
"2026-09-03","31","61"
"2026-09-04","40","68"
"2026-09-05","45","69"
"2026-09-06","46","68"
"2026-09-07","34","51"
"2026-09-08","27","51"
"2026-09-09","32","51"
"2026-09-10","42","61"
"2026-09-11","45","60"
"2026-09-12","46","61"
"2026-09-13","40","61"
"2026-09-14","29","55"
"2026-09-15","26","52"
"2026-09-16","28","55"
"2026-09-17","31","69"
"2026-09-18","31","83"
"2026-09-19","32","68"
"2026-09-20","29","74"
"2026-09-21","28","74"
"2026-09-22","27","72"
"2026-09-23","25","81"
"2026-09-24","36","90"
"2026-09-25","33","88"
"2026-09-26","31","79"
"2026-09-27","29","74"
"2026-09-28","25","63"
"2026-09-29","19","47"
"2026-09-30","19","47"
"2026-10-01","18","50"
"2026-10-02","18","53"
"2026-10-03","16","53"
"2026-10-04","16","47"
"2026-10-05","15","53"
"2026-10-06","16","53"
"2026-10-07","19","55"
"2026-10-08","18","57"
"2026-10-09","25","76"
"2026-10-10","26","79"
"2026-10-11","25","82"
"2026-10-12","22","64"
"2026-10-13","19","69"
"2026-10-14","20","65"
"2026-10-15","19","65"
"2026-10-16","17","66"
"2026-10-17","16","66"
"2026-10-18","13","56"
"2026-10-19","12","47"
"2026-10-20","12","53"
"2026-10-21","13","52"
"2026-10-22","16","58"
"2026-10-23","17","62"
"2026-10-24","18","65"
"2026-10-25","16","63"
"2026-10-26","17","64"
"2026-10-27","15","60"
"2026-10-28","16","56"
"2026-10-29","16","61"
"2026-10-30","16","62"
"2026-10-31","19","64"
"2026-11-01","21","63"
"2026-11-02","21","61"
"2026-11-03","20","56"
"2026-11-04","21","59"
"2026-11-05","21","60"
"2026-11-06","21","62"
"2026-11-07","18","60"
"2026-11-08","15","65"
"2026-11-09","13","59"
"2026-11-10","11","47"
"2026-11-11","13","48"
"2026-11-12","15","64"
"2026-11-13","16","55"
"2026-11-14","16","66"
"2026-11-15","15","66"
"2026-11-16","16","66"
"2026-11-17","13","66"
"2026-11-18","13","48"
"2026-11-19","16","59"
"2026-11-20","16","56"
"2026-11-21","17","59"
"2026-11-22","18","65"
"2026-11-23","18","62"
"2026-11-24","17","62"
"2026-11-25","16","60"
"2026-11-26","16","60"
"2026-11-27","13","57"
"2026-11-28","13","57"
"2026-11-29","12","57"
"2026-11-30","12","47"
