"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","1","3","0","0","0","0"
"2023-06-01","1","2","0","0","0","0"
"2023-07-01","1","2","0","0","0","0"
"2023-08-01","1","2","0","0","0","0"
"2023-09-01","1","1","0","0","0","0"
"2023-10-01","1","2","0","0","0","0"
"2023-11-01","1","5","0","0","0","0"
"2023-12-01","2","6","0","0","0","0"
"2024-01-01","2","6","0","0","0","0"
"2024-02-01","4","7","0","0","0","0"
"2024-03-01","4","7","0","0","0","0"
"2024-04-01","1","5","0","0","0","0"
"2024-05-01","1","5","0","0","0","0"
"2024-06-01","1","4","0","0","0","0"
"2024-07-01","2","3","0","0","0","0"
"2024-08-01","1","3","0","0","0","0"
"2024-09-01","1","4","0","0","0","0"
"2024-10-01","2","5","0","0","0","0"
"2024-11-01","2","4","0","0","0","0"
"2024-12-01","5","6","0","0","0","0"
"2025-01-01","5","7","0","0","0","0"
"2025-02-01","7","11","0","0","0","0"
"2025-03-01","10","11","0","0","0","0"
"2025-04-01","6","11","0","0","0","0"
"2025-05-01","6","9","0","0","0","0"
"2025-06-01","3","6","0","0","0","0"
"2025-07-01","2","5","0","0","0","0"
"2025-08-01","4","5","0","0","0","0"
"2025-09-01","3","5","0","0","0","0"
"2025-10-01","4","4","0","0","0","0"
"2025-11-01","2","4","0","0","0","0"
"2025-12-01","5","7","0","0","0","0"
"2026-01-01","6","9","0","0","0","0"
"2026-02-01","12","10","0","0","0","0"
"2026-03-01","12","9","0","0","0","0"
"2026-04-01","4","5","0","0","0","0"
