"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","8.64"
"2024-05-01","8.5"
"2024-06-01","8.5"
"2024-07-01","16.89"
"2024-08-01","3.5"
"2024-09-01","4.8"
"2024-10-01","6.4"
"2024-11-01","6.4"
"2024-12-01","7.92"
"2025-01-01","8.54"
"2025-02-01","7.45"
"2025-03-01","7.83"
"2025-04-01","9.45"
"2025-05-01","9.11"
"2025-06-01","26.1"
"2025-07-01","19.43"
"2025-08-01","9.11"
"2025-09-01","10.2"
"2025-10-01","10.86"
"2025-11-01","4.67"
"2025-12-01","7.2"
"2026-01-01","7.1"
"2026-02-01","9.81"
"2026-03-01","7.36"
"2026-04-01","4.83"
