"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","63.56","188.94","0","0","0","0"
"2023-06-01","62.54","181.03","0","0","0","0"
"2023-07-01","62.44","152.73","0","0","0","0"
"2023-08-01","64.8","164.5","0","0","0","0"
"2023-09-01","70.56","165.24","0","0","0","0"
"2023-10-01","65.65","176.02","0","0","0","0"
"2023-11-01","61.27","138.19","0","0","0","0"
"2023-12-01","59.87","207.53","0","0","0","0"
"2024-01-01","79.21","162.83","0","0","0","0"
"2024-02-01","134.17","214.05","0","0","0","0"
"2024-03-01","174.87","234.83","0","0","0","0"
"2024-04-01","0","210.48","0","0","0","0"
"2024-05-01","79.59","179.34","0","0","0","0"
"2024-06-01","73.06","165.7","0","0","0","0"
"2024-07-01","98.75","126.26","0","0","0","0"
"2024-08-01","119.86","96.82","0","0","0","0"
"2024-09-01","119.07","176.77","0","0","0","0"
"2024-10-01","106.1","109.48","0","0","0","0"
"2024-11-01","93.07","127.31","0","0","0","0"
"2024-12-01","102.02","141.14","0","0","0","0"
"2025-01-01","150.92","154.99","0","0","0","0"
"2025-02-01","194.64","161.52","0","0","0","0"
"2025-03-01","153.97","228.56","0","0","0","0"
"2025-04-01","107.95","180.25","0","0","0","0"
"2025-05-01","154.86","141.54","0","0","0","0"
"2025-06-01","111.99","124.88","0","0","0","0"
"2025-07-01","105.34","105.73","0","0","0","0"
"2025-08-01","106.87","101.19","0","0","0","0"
"2025-09-01","117.7","129.94","0","0","0","0"
"2025-10-01","120.67","126.16","0","0","0","0"
"2025-11-01","124.1","180.1","0","0","0","0"
"2025-12-01","138.08","195.35","0","0","0","0"
"2026-01-01","198.59","265.76","0","0","0","0"
"2026-02-01","242.32","249.66","0","0","0","0"
"2026-03-01","196.03","184.7","0","0","0","0"
"2026-04-01","155.5","160.78","0","0","0","0"
