"Date","Daily Rate"
"2023-05-01","161"
"2023-06-01","149"
"2023-07-01","134"
"2023-08-01","129"
"2023-09-01","136"
"2023-10-01","105"
"2023-11-01","104"
"2023-12-01","183"
"2024-01-01","137"
"2024-02-01","182"
"2024-03-01","218"
"2024-04-01","210"
"2024-05-01","168"
"2024-06-01","122"
"2024-07-01","123"
"2024-08-01","102"
"2024-09-01","163"
"2024-10-01","108"
"2024-11-01","119"
"2024-12-01","129"
"2025-01-01","154"
"2025-02-01","178"
"2025-03-01","201"
"2025-04-01","153"
"2025-05-01","146"
"2025-06-01","121"
"2025-07-01","106"
"2025-08-01","103"
"2025-09-01","126"
"2025-10-01","124"
"2025-11-01","158"
"2025-12-01","178"
"2026-01-01","240"
"2026-02-01","246"
"2026-03-01","188"
"2026-04-01","159"
