"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","70","201","0","0","0"
"2023-06-01","90","282","0","0","0"
"2023-07-01","98","159","0","0","0"
"2023-08-01","65","164","0","0","0"
"2023-09-01","71","165","0","0","0"
"2023-10-01","95","146","0","0","0"
"2023-11-01","85","151","0","0","0"
"2023-12-01","183","182","0","0","0"
"2024-01-01","112","203","0","0","0"
"2024-02-01","108","264","0","259","0"
"2024-03-01","169","236","0","0","0"
"2024-04-01","144","277","0","0","0"
"2024-05-01","86","285","0","0","0"
"2024-06-01","89","178","0","0","0"
"2024-07-01","103","189","99","0","0"
"2024-08-01","62","166","120","0","0"
"2024-09-01","179","173","119","0","0"
"2024-10-01","88","172","117","0","0"
"2024-11-01","113","288","99","0","0"
"2024-12-01","128","159","104","0","0"
"2025-01-01","132","189","211","0","0"
"2025-02-01","127","186","311","297","0"
"2025-03-01","162","345","350","299","425"
"2025-04-01","128","306","0","0","0"
"2025-05-01","140","163","388","0","0"
"2025-06-01","115","322","0","0","0"
"2025-07-01","106","0","0","0","0"
"2025-08-01","102","0","162","0","0"
"2025-09-01","126","0","0","0","0"
"2025-10-01","124","0","0","0","0"
"2025-11-01","158","159","0","0","0"
"2025-12-01","173","230","0","0","0"
"2026-01-01","209","290","0","662","0"
"2026-02-01","228","287","0","630","428"
"2026-03-01","188","0","0","0","0"
"2026-04-01","159","0","0","0","0"
