"Date","Booked Listings","Daily Rate"
"2026-05-14","4","137.95"
"2026-05-15","5","197.07"
"2026-05-16","5","177.36"
"2026-05-17","4","137.95"
"2026-05-18","4","137.95"
"2026-05-19","4","137.95"
"2026-05-20","4","137.95"
"2026-05-21","3","137.95"
"2026-05-22","3","137.95"
"2026-05-23","3","137.95"
"2026-05-24","3","137.95"
"2026-05-25","2","64.05"
"2026-05-26","2","59.12"
"2026-05-27","2","64.05"
"2026-05-28","3","137.95"
"2026-05-29","3","137.95"
"2026-05-30","3","137.95"
"2026-05-31","3","137.95"
"2026-06-01","2","64.05"
"2026-06-02","2","59.12"
"2026-06-03","2","64.05"
"2026-06-04","3","137.95"
"2026-06-05","5","187.22"
"2026-06-06","5","182.29"
"2026-06-07","4","137.95"
"2026-06-08","4","137.95"
"2026-06-09","4","137.95"
"2026-06-10","4","137.95"
"2026-06-11","4","137.95"
"2026-06-12","4","137.95"
"2026-06-13","4","137.95"
"2026-06-14","4","137.95"
"2026-06-15","3","137.95"
"2026-06-16","2","64.05"
"2026-06-17","2","64.05"
"2026-06-18","4","137.95"
"2026-06-19","4","137.95"
"2026-06-20","4","137.95"
"2026-06-21","4","137.95"
"2026-06-22","3","137.95"
"2026-06-23","3","137.95"
"2026-06-24","2","64.05"
"2026-06-25","2","64.05"
"2026-06-26","3","137.95"
"2026-06-27","3","137.95"
"2026-06-28","3","137.95"
"2026-06-29","2","64.05"
"2026-06-30","2","64.05"
"2026-07-01","2","64.05"
"2026-07-02","2","64.05"
"2026-07-03","2","64.05"
"2026-07-04","2","64.05"
"2026-07-05","2","64.05"
"2026-07-06","2","64.05"
"2026-07-07","2","64.05"
"2026-07-08","2","64.05"
"2026-07-09","2","64.05"
"2026-07-10","2","64.05"
"2026-07-11","3","197.07"
"2026-07-12","3","192.15"
"2026-07-13","2","64.05"
"2026-07-14","2","64.05"
"2026-07-15","2","64.05"
"2026-07-16","2","64.05"
"2026-07-17","2","64.05"
"2026-07-18","2","64.05"
"2026-07-19","2","64.05"
"2026-07-20","2","64.05"
"2026-07-21","2","59.12"
"2026-07-22","2","64.05"
"2026-07-23","2","64.05"
"2026-07-24","2","64.05"
"2026-07-25","2","64.05"
"2026-07-26","2","64.05"
"2026-07-27","2","64.05"
"2026-07-28","2","59.12"
"2026-07-29","2","64.05"
"2026-07-30","2","64.05"
"2026-07-31","2","64.05"
"2026-08-01","1","64.05"
"2026-08-02","1","64.05"
"2026-08-03","1","64.05"
"2026-08-04","1","59.12"
"2026-08-05","1","59.12"
"2026-08-06","1","64.05"
"2026-08-07","2","64.05"
"2026-08-08","2","64.05"
"2026-08-09","2","64.05"
"2026-08-10","2","64.05"
"2026-08-11","2","59.12"
"2026-08-12","2","59.12"
"2026-08-13","2","64.05"
"2026-08-14","2","64.05"
"2026-08-15","2","64.05"
"2026-08-16","2","64.05"
"2026-08-17","2","64.05"
"2026-08-18","2","59.12"
"2026-08-19","2","59.12"
"2026-08-20","2","64.05"
"2026-08-21","2","64.05"
"2026-08-22","2","64.05"
"2026-08-23","2","64.05"
"2026-08-24","2","64.05"
"2026-08-25","2","59.12"
"2026-08-26","2","59.12"
"2026-08-27","2","64.05"
"2026-08-28","2","64.05"
"2026-08-29","1","64.05"
"2026-08-30","1","64.05"
"2026-08-31","1","64.05"
"2026-09-01","2","64.05"
"2026-09-02","2","59.12"
"2026-09-03","2","64.05"
"2026-09-04","1","64.05"
"2026-09-05","2","64.05"
"2026-09-06","2","64.05"
"2026-09-07","2","64.05"
"2026-09-08","2","64.05"
"2026-09-09","2","59.12"
"2026-09-10","2","64.05"
"2026-09-11","2","64.05"
"2026-09-12","2","64.05"
"2026-09-13","1","64.05"
"2026-09-14","2","64.05"
"2026-09-15","2","64.05"
"2026-09-16","2","59.12"
"2026-09-17","2","64.05"
"2026-09-18","2","64.05"
"2026-09-19","2","64.05"
"2026-09-20","2","64.05"
"2026-09-21","2","64.05"
"2026-09-22","2","64.05"
"2026-09-23","2","59.12"
"2026-09-24","2","64.05"
"2026-09-25","2","64.05"
"2026-09-26","2","64.05"
"2026-09-27","2","64.05"
"2026-09-28","2","64.05"
"2026-09-29","2","64.05"
"2026-09-30","2","59.12"
"2026-10-01","2","197.07"
"2026-10-02","2","172.44"
"2026-10-03","2","221.71"
"2026-10-04","1","438.49"
"2026-10-05","1","487.75"
"2026-10-06","1","487.75"
"2026-10-07","1","487.75"
"2026-10-08","1","487.75"
"2026-10-09","1","487.75"
"2026-10-10","1","487.75"
"2026-10-11","1","438.49"
"2026-10-12","1","487.75"
"2026-10-13","1","487.75"
"2026-10-14","1","487.75"
"2026-10-15","1","487.75"
"2026-10-16","1","487.75"
"2026-10-17","1","487.75"
"2026-10-18","1","438.49"
"2026-10-19","1","487.75"
"2026-10-20","1","487.75"
"2026-10-21","1","487.75"
"2026-10-22","1","487.75"
"2026-10-23","1","487.75"
"2026-10-24","1","487.75"
"2026-10-25","1","438.49"
"2026-10-26","1","487.75"
"2026-10-27","1","487.75"
"2026-10-28","1","487.75"
"2026-10-29","2","68.98"
"2026-10-30","2","68.98"
"2026-10-31","2","78.83"
