"Date","Revenue"
"2023-05-01","1932.94"
"2023-06-01","1292.48"
"2023-07-01","1693.76"
"2023-08-01","2198.25"
"2023-09-01","2170.46"
"2023-10-01","1368.47"
"2023-11-01","969.24"
"2023-12-01","2169.06"
"2024-01-01","1354.16"
"2024-02-01","1604.31"
"2024-03-01","4571.71"
"2024-04-01","3199.27"
"2024-05-01","3028.68"
"2024-06-01","2529"
"2024-07-01","2186.13"
"2024-08-01","1623.97"
"2024-09-01","3128.52"
"2024-10-01","1880.73"
"2024-11-01","1403.83"
"2024-12-01","1579.26"
"2025-01-01","2207.03"
"2025-02-01","1057.05"
"2025-03-01","2162.36"
"2025-04-01","1855.59"
"2025-05-01","1751.72"
"2025-06-01","1676.34"
"2025-07-01","2621.61"
"2025-08-01","1975.53"
"2025-09-01","2228.36"
"2025-10-01","2764.46"
"2025-11-01","2314.83"
"2025-12-01","1957.94"
"2026-01-01","2685.42"
"2026-02-01","2496.29"
"2026-03-01","3906.44"
"2026-04-01","2645.66"
