"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","508.5","2645.16","","","",""
"2023-06-01","437.77","1719.83","","","",""
"2023-07-01","499.48","2290.9","","","",""
"2023-08-01","777.61","3618.9","","","",""
"2023-09-01","705.64","3635.28","","","",""
"2023-10-01","1641.15","1232.13","","","",""
"2023-11-01","1531.66","856.75","","","",""
"2023-12-01","479","2732.4","","","",""
"2024-01-01","831.68","1563.16","","","",""
"2024-02-01","1308.13","1773.54","","","",""
"2024-03-01","4196.98","4696.62","","","",""
"2024-04-01","","3199.27","","","",""
"2024-05-01","795.94","3586.87","","","",""
"2024-06-01","2118.79","2734.1","","","",""
"2024-07-01","790","2651.53","","","",""
"2024-08-01","1558.14","1645.92","","","",""
"2024-09-01","2738.58","3226.01","","","",""
"2024-10-01","1591.46","2025.37","","","",""
"2024-11-01","837.66","1686.91","","","",""
"2024-12-01","877.36","2164.21","","","",""
"2025-01-01","1961.97","2347.09","","","",""
"2025-02-01","1390.29","823.76","","","",""
"2025-03-01","1351.48","2825.8","","","",""
"2025-04-01","1511.26","2027.76","","","",""
"2025-05-01","1486.62","1941.07","","","",""
"2025-06-01","1959.77","1581.84","","","",""
"2025-07-01","3265.43","2299.69","","","",""
"2025-08-01","1763.4","2145.24","","","",""
"2025-09-01","2000.83","2364.87","","","",""
"2025-10-01","3499.41","2396.99","","","",""
"2025-11-01","2171.81","2386.35","","","",""
"2025-12-01","1104.64","2567.42","","","",""
"2026-01-01","2151.36","3041.44","","","",""
"2026-02-01","2079.93","2995.93","","","",""
"2026-03-01","3038.44","4340.44","","","",""
"2026-04-01","2254.75","2958.39","","","",""
