"Date","Unique","B&B","Apartment","House"
"2023-05-01","","","5798.83",""
"2023-06-01","","","3877.43",""
"2023-07-01","","","5081.29",""
"2023-08-01","","","4396.51",""
"2023-09-01","","","4340.92",""
"2023-10-01","","","4105.41",""
"2023-11-01","","","5582.03","233.4"
"2023-12-01","227.15","","11569.98","5555.37"
"2024-01-01","102.14","","9231.11","145.91"
"2024-02-01","522.26","","10599.37","6525.75"
"2024-03-01","","","7379.69","10907.15"
"2024-04-01","","","9851.89","6144.47"
"2024-05-01","","","8246.98","6896.44"
"2024-06-01","","","7587",""
"2024-07-01","","","7954.52","790"
"2024-08-01","","","4937.76","1558.14"
"2024-09-01","","","12904.02","2738.58"
"2024-10-01","","","9186.94","2097.45"
"2024-11-01","","","7536.03","886.93"
"2024-12-01","314.2","","13782.72","3274.98"
"2025-01-01","78.18","","17409.65","6789.46"
"2025-02-01","74.16","","9064.77","8830.88"
"2025-03-01","603.29","","33364.72","9279.15"
"2025-04-01","423.8","","16227.99","5615.34"
"2025-05-01","","","20747.9","272.77"
"2025-06-01","","","12096.8","1313.91"
"2025-07-01","","","15729.64",""
"2025-08-01","","","17293.69","486.08"
"2025-09-01","","","17826.89",""
"2025-10-01","","","16586.78",""
"2025-11-01","","","13889.01",""
"2025-12-01","","","21838.3","1656.96"
"2026-01-01","","","34788.35","5492.9"
"2026-02-01","","","47292.95","7625.54"
"2026-03-01","","","22777.64","660.99"
"2026-04-01","","","20385.1","3425.82"
