"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","555","52","5","2","0","1"
"2023-06-01","559","54","5","2","0","1"
"2023-07-01","555","52","7","2","1","0"
"2023-08-01","546","46","7","2","2","0"
"2023-09-01","541","52","6","2","2","0"
"2023-10-01","615","56","7","2","2","1"
"2023-11-01","709","67","8","2","2","1"
"2023-12-01","835","84","15","3","2","3"
"2024-01-01","864","83","13","3","2","3"
"2024-02-01","992","104","14","2","3","4"
"2024-03-01","1016","105","13","2","3","4"
"2024-04-01","808","71","5","2","3","0"
"2024-05-01","911","82","6","2","3","0"
"2024-06-01","889","82","8","2","2","0"
"2024-07-01","841","72","6","2","2","0"
"2024-08-01","870","70","5","2","2","0"
"2024-09-01","1089","93","6","2","2","0"
"2024-10-01","1122","94","7","2","2","0"
"2024-11-01","1160","88","9","1","3","0"
"2024-12-01","1427","121","15","2","3","0"
"2025-01-01","1493","129","13","2","3","1"
"2025-02-01","1622","137","15","2","3","2"
"2025-03-01","1794","150","16","2","4","2"
"2025-04-01","1748","137","11","2","4","1"
"2025-05-01","1850","133","14","2","4","2"
"2025-06-01","1713","111","10","2","4","2"
"2025-07-01","1659","107","6","2","4","2"
"2025-08-01","1539","96","4","2","3","1"
"2025-09-01","1596","100","4","2","3","1"
"2025-10-01","1656","92","6","2","3","1"
"2025-11-01","1831","111","5","3","3","1"
"2025-12-01","2453","165","13","3","3","2"
"2026-01-01","2648","176","17","3","3","2"
"2026-02-01","2937","200","21","3","3","2"
"2026-03-01","2877","193","20","3","3","2"
"2026-04-01","2456","152","9","1","3","1"
