"Date","Listing Days Booked","Booked Listings"
"2023-05-01","8966","529"
"2023-06-01","8898","574"
"2023-07-01","10192","536"
"2023-08-01","10252","561"
"2023-09-01","10902","587"
"2023-10-01","12945","656"
"2023-11-01","15483","780"
"2023-12-01","13257","881"
"2024-01-01","13767","887"
"2024-02-01","15447","1094"
"2024-03-01","13156","777"
"2024-04-01","12552","796"
"2024-05-01","15544","951"
"2024-06-01","14453","907"
"2024-07-01","16481","847"
"2024-08-01","17128","886"
"2024-09-01","21109","1180"
"2024-10-01","18761","1034"
"2024-11-01","21513","1234"
"2024-12-01","22014","1531"
"2025-01-01","27182","1563"
"2025-02-01","26695","1728"
"2025-03-01","31905","1940"
"2025-04-01","27394","1753"
"2025-05-01","27110","1934"
"2025-06-01","25180","1674"
"2025-07-01","26169","1493"
"2025-08-01","27387","1539"
"2025-09-01","28046","1595"
"2025-10-01","30166","1644"
"2025-11-01","31654","1888"
"2025-12-01","35056","2557"
"2026-01-01","46973","2733"
"2026-02-01","48561","3115"
"2026-03-01","42683","2342"
"2026-04-01","40496","2509"
