"Date","Last 7 Days","Last 30 Days","Last 60 Days","All Time"
"2026-05-14","301","675","902","1099"
"2026-05-15","292","698","950","1162"
"2026-05-16","325","758","1024","1244"
"2026-05-17","245","607","852","1068"
"2026-05-18","185","485","704","912"
"2026-05-19","182","471","669","878"
"2026-05-20","158","442","638","841"
"2026-05-21","163","460","650","852"
"2026-05-22","155","475","670","863"
"2026-05-23","166","505","706","891"
"2026-05-24","143","421","590","759"
"2026-05-25","126","392","548","709"
"2026-05-26","135","403","556","708"
"2026-05-27","133","385","538","689"
"2026-05-28","122","372","526","671"
"2026-05-29","132","387","546","691"
"2026-05-30","137","396","556","697"
"2026-05-31","116","330","467","594"
"2026-06-01","91","274","400","533"
"2026-06-02","97","297","433","591"
"2026-06-03","116","341","513","717"
"2026-06-04","158","470","690","957"
"2026-06-05","187","538","780","1080"
"2026-06-06","187","542","782","1085"
"2026-06-07","135","372","566","792"
"2026-06-08","85","255","400","567"
"2026-06-09","69","201","325","467"
"2026-06-10","70","203","314","456"
"2026-06-11","80","207","326","464"
"2026-06-12","92","243","358","488"
"2026-06-13","85","236","350","477"
