"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","6.27"
"2024-05-01","4.68"
"2024-06-01","4.9"
"2024-07-01","4.76"
"2024-08-01","4.45"
"2024-09-01","4.33"
"2024-10-01","4.35"
"2024-11-01","4.23"
"2024-12-01","4.52"
"2025-01-01","4.8"
"2025-02-01","4.6"
"2025-03-01","4.85"
"2025-04-01","3.99"
"2025-05-01","4.21"
"2025-06-01","4.47"
"2025-07-01","4.76"
"2025-08-01","4.32"
"2025-09-01","4.58"
"2025-10-01","4.12"
"2025-11-01","3.97"
"2025-12-01","4.38"
"2026-01-01","4.64"
"2026-02-01","4.61"
"2026-03-01","4.79"
"2026-04-01","4.25"
