"Date","Occupancy"
"2023-05-01","54.65"
"2023-06-01","54.47"
"2023-07-01","63.32"
"2023-08-01","64.17"
"2023-09-01","66.71"
"2023-10-01","69.25"
"2023-11-01","72.49"
"2023-12-01","55.7"
"2024-01-01","52.75"
"2024-02-01","57.09"
"2024-03-01","48.9"
"2024-04-01","54.4"
"2024-05-01","57.84"
"2024-06-01","55.16"
"2024-07-01","67.04"
"2024-08-01","65.5"
"2024-09-01","69.13"
"2024-10-01","56.49"
"2024-11-01","65.35"
"2024-12-01","60.69"
"2025-01-01","60.66"
"2025-02-01","72"
"2025-03-01","56.8"
"2025-04-01","59.57"
"2025-05-01","47.64"
"2025-06-01","56.51"
"2025-07-01","54.08"
"2025-08-01","60.82"
"2025-09-01","62.08"
"2025-10-01","62.76"
"2025-11-01","63.39"
"2025-12-01","56.3"
"2026-01-01","60.29"
"2026-02-01","66.29"
"2026-03-01","52.31"
"2026-04-01","59.21"
