"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","156.27","204.2","291.16","627.31","0","2659.83"
"2023-06-01","162","218.61","325.36","835.99","0","0"
"2023-07-01","153.86","220.39","316.01","564.4","89.27","0"
"2023-08-01","157.13","228.01","293.59","752.46","168.65","0"
"2023-09-01","160.54","223.64","274.25","861.37","197.82","0"
"2023-10-01","167","220.91","365.36","847.3","125.94","2770.12"
"2023-11-01","173.47","247.06","389.88","825.73","166.73","2862.74"
"2023-12-01","208.64","316.16","627.79","747.46","232.64","2315.97"
"2024-01-01","214.77","340.76","346.64","1102.21","0","1823.44"
"2024-02-01","228.41","350.76","400.68","956.88","229.63","1017.61"
"2024-03-01","193.72","260.29","405.09","664.36","246.07","0"
"2024-04-01","190.02","263.89","388.61","982.16","233.42","0"
"2024-05-01","187.19","247.09","404.62","778.82","234.08","0"
"2024-06-01","182.36","254.77","366.48","745.5","224.94","0"
"2024-07-01","183.31","248.83","307.76","478.24","290.36","0"
"2024-08-01","182.02","240.08","334.29","768.3","239.88","0"
"2024-09-01","226.68","285.26","397.46","1094.12","168.04","0"
"2024-10-01","190.32","280.48","369.44","1294.09","148.51","0"
"2024-11-01","200.73","270.68","547.38","1259.23","180.22","0"
"2024-12-01","230.39","320.61","574.91","1119.46","256.42","0"
"2025-01-01","227.33","315.23","488.4","881.06","281.69","85.53"
"2025-02-01","228.47","304.68","717.05","1116.91","273.95","648.91"
"2025-03-01","248.96","321.36","699.9","983.25","464.65","1084"
"2025-04-01","217.59","291.86","574.68","917.66","470.26","105.95"
"2025-05-01","216.12","295.68","528.5","753.49","303.39","174.27"
"2025-06-01","199.33","252.38","425.41","880.81","385.35","154.12"
"2025-07-01","187.67","243.87","479.96","947.36","247.45","88.93"
"2025-08-01","183.44","239.66","463.74","1017.17","271.25","83.71"
"2025-09-01","187.98","246.97","486.78","951.31","379.66","82.94"
"2025-10-01","198.39","255.01","336.62","575.36","531.18","92.66"
"2025-11-01","207.85","291.28","440.29","672.07","363.04","103.29"
"2025-12-01","252.43","332.85","505.04","1001.96","315.42","148.01"
"2026-01-01","269.15","371.53","481.82","823.71","533.82","147.12"
"2026-02-01","332.92","430.31","642.34","963.94","1072.78","336.85"
"2026-03-01","230.13","368.32","700.48","1171.33","575.85","111.94"
"2026-04-01","227.51","342.71","480.27","1133.09","719.56","119.85"
