"Date","Daily Rate"
"2023-05-01","163"
"2023-06-01","169"
"2023-07-01","162"
"2023-08-01","165"
"2023-09-01","169"
"2023-10-01","176"
"2023-11-01","184"
"2023-12-01","227"
"2024-01-01","228"
"2024-02-01","243"
"2024-03-01","201"
"2024-04-01","198"
"2024-05-01","193"
"2024-06-01","190"
"2024-07-01","189"
"2024-08-01","188"
"2024-09-01","232"
"2024-10-01","197"
"2024-11-01","207"
"2024-12-01","239"
"2025-01-01","236"
"2025-02-01","237"
"2025-03-01","257"
"2025-04-01","224"
"2025-05-01","222"
"2025-06-01","204"
"2025-07-01","192"
"2025-08-01","188"
"2025-09-01","192"
"2025-10-01","203"
"2025-11-01","214"
"2025-12-01","258"
"2026-01-01","276"
"2026-02-01","341"
"2026-03-01","239"
"2026-04-01","234"
