"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","133","184","213","265","248"
"2023-06-01","139","190","206","289","289"
"2023-07-01","138","187","217","234","197"
"2023-08-01","139","189","214","262","162"
"2023-09-01","141","190","224","252","188"
"2023-10-01","145","205","237","248","263"
"2023-11-01","143","208","240","278","358"
"2023-12-01","170","251","311","350","514"
"2024-01-01","174","265","291","389","597"
"2024-02-01","182","269","330","405","637"
"2024-03-01","159","226","274","369","582"
"2024-04-01","160","218","272","371","462"
"2024-05-01","157","221","269","339","459"
"2024-06-01","158","217","253","327","448"
"2024-07-01","157","219","248","294","433"
"2024-08-01","158","212","245","294","375"
"2024-09-01","188","274","313","373","423"
"2024-10-01","162","223","274","305","499"
"2024-11-01","169","232","285","359","507"
"2024-12-01","189","270","325","456","561"
"2025-01-01","184","268","339","436","597"
"2025-02-01","177","259","357","478","638"
"2025-03-01","190","280","369","465","767"
"2025-04-01","174","246","320","429","617"
"2025-05-01","174","242","313","431","638"
"2025-06-01","163","225","294","378","468"
"2025-07-01","155","214","279","343","568"
"2025-08-01","152","211","271","321","653"
"2025-09-01","153","215","268","361","764"
"2025-10-01","163","223","282","357","545"
"2025-11-01","168","229","301","364","610"
"2025-12-01","189","268","346","428","892"
"2026-01-01","213","287","348","426","593"
"2026-02-01","254","345","407","479","741"
"2026-03-01","185","242","293","328","560"
"2026-04-01","178","235","280","317","669"
