"Date","Booked Listings","Daily Rate"
"2026-05-14","1099","211.85"
"2026-05-15","1162","216.78"
"2026-05-16","1244","226.63"
"2026-05-17","1068","211.85"
"2026-05-18","912","206.93"
"2026-05-19","878","197.07"
"2026-05-20","841","202"
"2026-05-21","852","206.93"
"2026-05-22","863","216.78"
"2026-05-23","891","216.78"
"2026-05-24","759","206.93"
"2026-05-25","709","197.07"
"2026-05-26","708","197.07"
"2026-05-27","689","202"
"2026-05-28","671","206.93"
"2026-05-29","691","216.78"
"2026-05-30","697","221.71"
"2026-05-31","594","216.78"
"2026-06-01","533","206.93"
"2026-06-02","591","206.93"
"2026-06-03","717","216.78"
"2026-06-04","957","221.71"
"2026-06-05","1080","231.56"
"2026-06-06","1085","231.56"
"2026-06-07","792","221.71"
"2026-06-08","567","211.85"
"2026-06-09","467","202"
"2026-06-10","456","197.07"
"2026-06-11","464","202"
"2026-06-12","488","216.78"
"2026-06-13","477","221.71"
"2026-06-14","417","206.93"
"2026-06-15","407","202"
"2026-06-16","390","197.07"
"2026-06-17","380","202"
"2026-06-18","353","202"
"2026-06-19","360","206.93"
"2026-06-20","362","216.78"
"2026-06-21","347","206.93"
"2026-06-22","338","202"
"2026-06-23","325","206.93"
"2026-06-24","316","197.07"
"2026-06-25","309","202"
"2026-06-26","313","206.93"
"2026-06-27","310","206.93"
"2026-06-28","303","202"
"2026-06-29","294","202"
"2026-06-30","279","202"
"2026-07-01","271","192.15"
"2026-07-02","274","197.07"
"2026-07-03","283","206.93"
"2026-07-04","293","211.85"
"2026-07-05","284","202"
"2026-07-06","286","197.07"
"2026-07-07","298","197.07"
"2026-07-08","300","202"
"2026-07-09","316","197.07"
"2026-07-10","323","206.93"
"2026-07-11","330","206.93"
"2026-07-12","315","197.07"
"2026-07-13","296","192.15"
"2026-07-14","282","192.15"
"2026-07-15","285","197.07"
"2026-07-16","282","192.15"
"2026-07-17","281","206.93"
"2026-07-18","278","206.93"
"2026-07-19","277","202"
"2026-07-20","270","197.07"
"2026-07-21","270","202"
"2026-07-22","282","211.85"
"2026-07-23","283","211.85"
"2026-07-24","289","216.78"
"2026-07-25","288","221.71"
"2026-07-26","278","202"
"2026-07-27","273","197.07"
"2026-07-28","254","192.15"
"2026-07-29","232","202"
"2026-07-30","226","206.93"
"2026-07-31","214","221.71"
"2026-08-01","204","231.56"
"2026-08-02","198","221.71"
"2026-08-03","187","206.93"
"2026-08-04","188","206.93"
"2026-08-05","189","211.85"
"2026-08-06","209","211.85"
"2026-08-07","211","231.56"
"2026-08-08","216","226.63"
"2026-08-09","206","221.71"
"2026-08-10","224","206.93"
"2026-08-11","228","216.78"
"2026-08-12","222","216.78"
"2026-08-13","224","216.78"
"2026-08-14","226","221.71"
"2026-08-15","228","226.63"
"2026-08-16","209","221.71"
"2026-08-17","189","216.78"
"2026-08-18","188","221.71"
"2026-08-19","185","211.85"
"2026-08-20","182","216.78"
"2026-08-21","179","226.63"
"2026-08-22","172","226.63"
"2026-08-23","164","221.71"
"2026-08-24","165","221.71"
"2026-08-25","170","216.78"
"2026-08-26","167","221.71"
"2026-08-27","169","221.71"
"2026-08-28","167","236.49"
"2026-08-29","164","236.49"
"2026-08-30","157","216.78"
"2026-08-31","154","206.93"
"2026-09-01","192","197.07"
"2026-09-02","216","197.07"
"2026-09-03","249","211.85"
"2026-09-04","321","226.63"
"2026-09-05","368","226.63"
"2026-09-06","369","221.71"
"2026-09-07","308","211.85"
"2026-09-08","251","202"
"2026-09-09","278","202"
"2026-09-10","355","206.93"
"2026-09-11","393","226.63"
"2026-09-12","387","231.56"
"2026-09-13","311","216.78"
"2026-09-14","247","211.85"
"2026-09-15","201","206.93"
"2026-09-16","180","206.93"
"2026-09-17","174","206.93"
"2026-09-18","174","216.78"
"2026-09-19","171","221.71"
"2026-09-20","159","206.93"
"2026-09-21","152","211.85"
"2026-09-22","147","206.93"
"2026-09-23","138","206.93"
"2026-09-24","139","206.93"
"2026-09-25","134","226.63"
"2026-09-26","134","236.49"
"2026-09-27","134","211.85"
"2026-09-28","129","211.85"
"2026-09-29","123","206.93"
"2026-09-30","123","206.93"
"2026-10-01","126","211.85"
"2026-10-02","120","231.56"
"2026-10-03","118","236.49"
"2026-10-04","117","206.93"
"2026-10-05","112","202"
"2026-10-06","118","202"
"2026-10-07","119","206.93"
"2026-10-08","118","211.85"
"2026-10-09","125","226.63"
"2026-10-10","130","231.56"
"2026-10-11","134","211.85"
"2026-10-12","132","202"
"2026-10-13","122","202"
"2026-10-14","121","206.93"
"2026-10-15","122","221.71"
"2026-10-16","125","236.49"
"2026-10-17","123","236.49"
"2026-10-18","111","221.71"
"2026-10-19","110","202"
"2026-10-20","111","206.93"
"2026-10-21","106","206.93"
"2026-10-22","111","206.93"
"2026-10-23","110","226.63"
"2026-10-24","108","231.56"
"2026-10-25","105","211.85"
"2026-10-26","105","202"
"2026-10-27","102","206.93"
"2026-10-28","105","206.93"
"2026-10-29","100","206.93"
"2026-10-30","94","216.78"
"2026-10-31","102","226.63"
