"Date","Revenue"
"2023-05-01","2757.49"
"2023-06-01","2622.49"
"2023-07-01","3084.19"
"2023-08-01","3022.7"
"2023-09-01","3129.83"
"2023-10-01","3471.5"
"2023-11-01","3645.98"
"2023-12-01","3420.73"
"2024-01-01","3540.14"
"2024-02-01","3435.17"
"2024-03-01","3403.14"
"2024-04-01","3116.51"
"2024-05-01","3156.94"
"2024-06-01","3025.89"
"2024-07-01","3679.92"
"2024-08-01","3626.81"
"2024-09-01","4154.52"
"2024-10-01","3573.54"
"2024-11-01","3617.04"
"2024-12-01","3436.46"
"2025-01-01","4095.92"
"2025-02-01","3669.15"
"2025-03-01","4228.86"
"2025-04-01","3508.09"
"2025-05-01","3118.05"
"2025-06-01","3071.43"
"2025-07-01","3369.02"
"2025-08-01","3351.48"
"2025-09-01","3384.2"
"2025-10-01","3717.53"
"2025-11-01","3580.98"
"2025-12-01","3541.11"
"2026-01-01","4750.88"
"2026-02-01","5317.59"
"2026-03-01","4348.2"
"2026-04-01","3773.6"
