"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","2637.68","3824.05","4512.92","3136.55","","5319.67"
"2023-06-01","2501.18","3703.18","3904.37","3761.97","",""
"2023-07-01","2916.36","4558.04","4160.75","8748.18","1517.66",""
"2023-08-01","2856.04","4533.09","5225.96","8277.1","3035.68",""
"2023-09-01","2998.64","4047.52","4250.89","10336.45","3659.61",""
"2023-10-01","3295.84","4491.76","7063.67","12285.92","2077.95","19390.84"
"2023-11-01","3459.01","4877.67","5896.87","16101.83","3167.85","11450.95"
"2023-12-01","3173.57","4716.78","6654.59","10215.31","1046.88","14667.8"
"2024-01-01","3369.69","5156.19","3189.06","4408.85","","10940.66"
"2024-02-01","3261.88","4707.79","5208.81","10047.27","1837.01","5596.88"
"2024-03-01","3300.67","4200.58","5333.66","9965.33","3937.17",""
"2024-04-01","3020.28","3830.57","5829.21","5892.98","4668.39",""
"2024-05-01","3092.62","3696.56","5597.26","3504.71","2808.9",""
"2024-06-01","2957.32","3370.6","4240.64","14537.29","2699.32",""
"2024-07-01","3602.53","4260.68","6463.05","8608.32","4936.16",""
"2024-08-01","3552.22","4180.47","6685.72","10372.03","2158.9",""
"2024-09-01","4087.76","4670.81","6822.96","9847.06","2352.59",""
"2024-10-01","3498.55","4341.38","6218.85","12940.86","1930.67",""
"2024-11-01","3546.4","3999.03","7868.66","22666.07","2042.44",""
"2024-12-01","3367.91","3959.65","5338.46","8395.92","2735.21",""
"2025-01-01","4011.2","4762.55","4750.82","23348.18","3568.11","769.75"
"2025-02-01","3558.71","4530.11","5019.34","26247.34","4109.27","2595.64"
"2025-03-01","4151.37","4751.67","4943","22614.7","7202.11","4878.02"
"2025-04-01","3439.96","3966.35","5674.91","18811.99","6583.61","105.95"
"2025-05-01","3069.17","3653.81","4106.05","8288.36","3716.55","261.41"
"2025-06-01","3012.11","3677.16","3474.2","14533.34","6069.19","385.3"
"2025-07-01","3294.55","4308.31","6479.44","8526.24","4289.08","88.93"
"2025-08-01","3264.36","4263.31","10202.31","12206.04","6058.03","334.86"
"2025-09-01","3321.5","4110.66","6328.2","6659.17","7719.85","414.7"
"2025-10-01","3651.33","4436.08","6059.11","12945.64","10623.6","463.32"
"2025-11-01","3509.86","4366.51","8189.32","8960.95","5203.5","413.17"
"2025-12-01","3503.33","3873.55","5050.43","9017.6","6728.94","222.01"
"2026-01-01","4682.65","5638.84","5243.38","13453.95","9786.65","367.8"
"2026-02-01","5241.84","6228.57","7129.96","18314.86","14661.28","2189.54"
"2026-03-01","4229.94","6354.34","7565.18","22255.24","7102.11","223.89"
"2026-04-01","3666.77","5324.15","7924.47","21528.7","12232.56","119.85"
