"Date","0-6","7-14","15-30","31-60","61-90","91+"
"2025-05-01","2641","846","930","886","624","662"
"2025-06-01","2457","900","960","762","313","437"
"2025-07-01","2986","893","742","568","280","250"
"2025-08-01","3192","1014","971","582","236","244"
"2025-09-01","3143","1042","1025","712","259","293"
"2025-10-01","3429","1149","1115","760","288","275"
"2025-11-01","3299","1156","1072","1016","512","470"
"2025-12-01","3402","1185","1146","1094","591","1014"
"2026-01-01","4515","1505","1488","1213","491","615"
"2026-02-01","3949","1237","1661","1647","894","1516"
"2026-03-01","4941","1444","1251","937","365","303"
"2026-04-01","4328","1516","1533","1122","541","456"
