"Date","Average RevPAR"
"2023-05-01","88.91"
"2023-06-01","92.15"
"2023-07-01","102.7"
"2023-08-01","106.14"
"2023-09-01","112.42"
"2023-10-01","121.83"
"2023-11-01","133.15"
"2023-12-01","126.62"
"2024-01-01","120.31"
"2024-02-01","138.9"
"2024-03-01","98.29"
"2024-04-01","107.51"
"2024-05-01","111.72"
"2024-06-01","104.75"
"2024-07-01","126.8"
"2024-08-01","122.88"
"2024-09-01","160.55"
"2024-10-01","111.27"
"2024-11-01","135.59"
"2024-12-01","145.04"
"2025-01-01","142.87"
"2025-02-01","171.01"
"2025-03-01","146.07"
"2025-04-01","133.74"
"2025-05-01","105.97"
"2025-06-01","115.4"
"2025-07-01","103.94"
"2025-08-01","114.55"
"2025-09-01","119.48"
"2025-10-01","127.15"
"2025-11-01","135.4"
"2025-12-01","145.43"
"2026-01-01","166.65"
"2026-02-01","226.12"
"2026-03-01","124.81"
"2026-04-01","138.43"
