"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","4","2","0","0","0","0"
"2023-06-01","4","1","0","0","0","0"
"2023-07-01","4","2","0","0","0","0"
"2023-08-01","5","2","0","0","0","0"
"2023-09-01","5","1","0","0","0","0"
"2023-10-01","6","2","0","0","0","0"
"2023-11-01","5","2","0","0","0","0"
"2023-12-01","8","3","0","0","0","0"
"2024-01-01","10","5","0","0","0","0"
"2024-02-01","9","6","1","0","0","0"
"2024-03-01","9","6","1","0","0","0"
"2024-04-01","5","5","0","0","0","0"
"2024-05-01","4","5","0","0","0","0"
"2024-06-01","3","5","0","0","0","0"
"2024-07-01","3","4","0","0","0","0"
"2024-08-01","4","3","0","0","0","0"
"2024-09-01","7","4","0","0","0","0"
"2024-10-01","7","4","1","0","0","0"
"2024-11-01","6","6","2","0","0","0"
"2024-12-01","9","7","2","0","0","0"
"2025-01-01","10","6","1","0","0","0"
"2025-02-01","10","9","0","0","0","0"
"2025-03-01","12","10","1","0","0","0"
"2025-04-01","11","7","2","0","0","0"
"2025-05-01","13","6","2","0","0","0"
"2025-06-01","13","5","1","0","0","0"
"2025-07-01","10","5","1","0","0","0"
"2025-08-01","9","5","0","0","0","0"
"2025-09-01","10","5","1","0","0","0"
"2025-10-01","8","5","1","0","0","0"
"2025-11-01","9","6","1","0","0","0"
"2025-12-01","11","6","2","0","0","0"
"2026-01-01","12","7","2","0","0","0"
"2026-02-01","17","14","2","0","0","0"
"2026-03-01","15","15","2","0","0","0"
"2026-04-01","10","8","1","0","0","0"
