"Date","Listing Days Booked","Booked Listings"
"2023-05-01","58","5"
"2023-06-01","69","4"
"2023-07-01","107","6"
"2023-08-01","120","5"
"2023-09-01","103","6"
"2023-10-01","101","6"
"2023-11-01","120","7"
"2023-12-01","76","11"
"2024-01-01","72","13"
"2024-02-01","161","15"
"2024-03-01","45","8"
"2024-04-01","71","8"
"2024-05-01","96","8"
"2024-06-01","68","7"
"2024-07-01","92","6"
"2024-08-01","114","6"
"2024-09-01","154","11"
"2024-10-01","110","10"
"2024-11-01","166","14"
"2024-12-01","201","16"
"2025-01-01","301","15"
"2025-02-01","329","18"
"2025-03-01","316","21"
"2025-04-01","220","17"
"2025-05-01","219","20"
"2025-06-01","247","17"
"2025-07-01","246","14"
"2025-08-01","209","12"
"2025-09-01","211","14"
"2025-10-01","204","14"
"2025-11-01","204","14"
"2025-12-01","222","19"
"2026-01-01","276","19"
"2026-02-01","409","33"
"2026-03-01","270","17"
"2026-04-01","308","18"
