"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","2.88"
"2024-05-01","3.86"
"2024-06-01","3.81"
"2024-07-01","15.7"
"2024-08-01","14.77"
"2024-09-01","3.59"
"2024-10-01","4.21"
"2024-11-01","5.31"
"2024-12-01","5.14"
"2025-01-01","7.67"
"2025-02-01","4.97"
"2025-03-01","5.56"
"2025-04-01","3.59"
"2025-05-01","3.92"
"2025-06-01","5.91"
"2025-07-01","5.43"
"2025-08-01","4.45"
"2025-09-01","5"
"2025-10-01","5.58"
"2025-11-01","3.65"
"2025-12-01","4.54"
"2026-01-01","4.58"
"2026-02-01","4.84"
"2026-03-01","9.28"
"2026-04-01","5.54"
