"Date","Occupancy"
"2023-05-01","37.91"
"2023-06-01","51.88"
"2023-07-01","65.24"
"2023-08-01","65.57"
"2023-09-01","65.19"
"2023-10-01","59.76"
"2023-11-01","71.01"
"2023-12-01","37.81"
"2024-01-01","19.1"
"2024-02-01","39.56"
"2024-03-01","13.27"
"2024-04-01","33.49"
"2024-05-01","38.4"
"2024-06-01","29.57"
"2024-07-01","55.42"
"2024-08-01","57.87"
"2024-09-01","62.6"
"2024-10-01","35.71"
"2024-11-01","50.76"
"2024-12-01","49.63"
"2025-01-01","59.25"
"2025-02-01","82.25"
"2025-03-01","48.17"
"2025-04-01","49.66"
"2025-05-01","37.44"
"2025-06-01","56.78"
"2025-07-01","54.19"
"2025-08-01","55.44"
"2025-09-01","50.97"
"2025-10-01","47.55"
"2025-11-01","51.13"
"2025-12-01","58.12"
"2026-01-01","47.83"
"2026-02-01","59.97"
"2026-03-01","36.59"
"2026-04-01","59.92"
