"Date","Daily Rate"
"2023-05-01","167"
"2023-06-01","125"
"2023-07-01","148"
"2023-08-01","124"
"2023-09-01","182"
"2023-10-01","128"
"2023-11-01","143"
"2023-12-01","187"
"2024-01-01","236"
"2024-02-01","234"
"2024-03-01","184"
"2024-04-01","197"
"2024-05-01","201"
"2024-06-01","227"
"2024-07-01","164"
"2024-08-01","129"
"2024-09-01","169"
"2024-10-01","161"
"2024-11-01","204"
"2024-12-01","234"
"2025-01-01","190"
"2025-02-01","358"
"2025-03-01","245"
"2025-04-01","197"
"2025-05-01","177"
"2025-06-01","161"
"2025-07-01","135"
"2025-08-01","156"
"2025-09-01","164"
"2025-10-01","224"
"2025-11-01","171"
"2025-12-01","210"
"2026-01-01","227"
"2026-02-01","299"
"2026-03-01","209"
"2026-04-01","201"
