"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","144","0","0","0","474"
"2023-06-01","125","0","0","0","0"
"2023-07-01","136","0","0","0","466"
"2023-08-01","124","0","0","0","0"
"2023-09-01","119","0","315","0","472"
"2023-10-01","139","0","56","0","0"
"2023-11-01","174","0","51","0","0"
"2023-12-01","185","0","168","0","435"
"2024-01-01","218","472","231","0","472"
"2024-02-01","165","669","313","797","0"
"2024-03-01","184","0","0","0","0"
"2024-04-01","192","0","0","0","503"
"2024-05-01","201","0","0","0","0"
"2024-06-01","223","476","0","0","0"
"2024-07-01","164","0","0","0","0"
"2024-08-01","129","0","0","0","0"
"2024-09-01","169","153","217","0","0"
"2024-10-01","163","142","0","0","0"
"2024-11-01","173","265","0","395","0"
"2024-12-01","228","304","286","0","0"
"2025-01-01","190","198","0","0","0"
"2025-02-01","188","199","251","685","2491"
"2025-03-01","208","229","253","689","1092"
"2025-04-01","163","260","0","1194","0"
"2025-05-01","173","195","0","688","0"
"2025-06-01","156","223","0","0","0"
"2025-07-01","135","0","0","0","0"
"2025-08-01","156","0","0","0","0"
"2025-09-01","144","601","0","0","585"
"2025-10-01","158","616","0","0","607"
"2025-11-01","162","565","0","376","0"
"2025-12-01","195","454","0","358","0"
"2026-01-01","205","377","0","378","0"
"2026-02-01","225","309","504","415","807"
"2026-03-01","165","225","491","0","0"
"2026-04-01","150","299","337","0","0"
