"Date","Booked Listings","Daily Rate"
"2026-05-14","6","182.29"
"2026-05-15","7","182.29"
"2026-05-16","7","157.66"
"2026-05-17","9","167.51"
"2026-05-18","9","157.66"
"2026-05-19","9","128.1"
"2026-05-20","9","177.36"
"2026-05-21","8","197.07"
"2026-05-22","9","182.29"
"2026-05-23","9","162.58"
"2026-05-24","7","177.36"
"2026-05-25","7","167.51"
"2026-05-26","7","147.8"
"2026-05-27","6","172.44"
"2026-05-28","5","197.07"
"2026-05-29","7","182.29"
"2026-05-30","7","182.29"
"2026-05-31","5","197.07"
"2026-06-01","7","197.07"
"2026-06-02","9","231.56"
"2026-06-03","10","192.15"
"2026-06-04","9","216.78"
"2026-06-05","9","216.78"
"2026-06-06","9","231.56"
"2026-06-07","6","182.29"
"2026-06-08","5","192.15"
"2026-06-09","5","197.07"
"2026-06-10","5","192.15"
"2026-06-11","5","197.07"
"2026-06-12","5","197.07"
"2026-06-13","5","192.15"
"2026-06-14","6","182.29"
"2026-06-15","5","182.29"
"2026-06-16","4","123.17"
"2026-06-17","5","177.36"
"2026-06-18","4","123.17"
"2026-06-19","4","123.17"
"2026-06-20","4","123.17"
"2026-06-21","3","182.29"
"2026-06-22","3","157.66"
"2026-06-23","3","157.66"
"2026-06-24","3","157.66"
"2026-06-25","3","167.51"
"2026-06-26","3","167.51"
"2026-06-27","3","167.51"
"2026-06-28","4","167.51"
"2026-06-29","3","182.29"
"2026-06-30","3","182.29"
"2026-07-01","3","231.56"
"2026-07-02","3","231.56"
"2026-07-03","3","231.56"
"2026-07-04","3","231.56"
"2026-07-05","4","182.29"
"2026-07-06","3","231.56"
"2026-07-07","3","231.56"
"2026-07-08","2","182.29"
"2026-07-09","2","182.29"
"2026-07-10","2","182.29"
"2026-07-11","2","182.29"
"2026-07-12","2","182.29"
"2026-07-13","2","182.29"
"2026-07-14","2","182.29"
"2026-07-15","2","182.29"
"2026-07-16","2","182.29"
"2026-07-17","2","182.29"
"2026-07-18","2","182.29"
"2026-07-19","3","182.29"
"2026-07-20","3","182.29"
"2026-07-21","3","182.29"
"2026-07-22","3","182.29"
"2026-07-23","3","177.36"
"2026-07-24","3","177.36"
"2026-07-25","3","177.36"
"2026-07-26","3","182.29"
"2026-07-27","3","182.29"
"2026-07-28","3","182.29"
"2026-07-29","3","182.29"
"2026-07-30","3","182.29"
"2026-07-31","3","182.29"
"2026-08-01","4","128.1"
"2026-08-02","3","182.29"
"2026-08-03","3","182.29"
"2026-08-04","3","182.29"
"2026-08-05","4","137.95"
"2026-08-06","4","137.95"
"2026-08-07","4","137.95"
"2026-08-08","4","137.95"
"2026-08-09","4","137.95"
"2026-08-10","4","137.95"
"2026-08-11","3","182.29"
"2026-08-12","3","182.29"
"2026-08-13","3","177.36"
"2026-08-14","3","177.36"
"2026-08-15","4","177.36"
"2026-08-16","4","182.29"
"2026-08-17","4","182.29"
"2026-08-18","4","128.1"
"2026-08-19","4","128.1"
"2026-08-20","4","137.95"
"2026-08-21","4","137.95"
"2026-08-22","4","137.95"
"2026-08-23","3","182.29"
"2026-08-24","3","182.29"
"2026-08-25","3","182.29"
"2026-08-26","3","182.29"
"2026-08-27","3","177.36"
"2026-08-28","3","177.36"
"2026-08-29","3","177.36"
"2026-08-30","3","182.29"
"2026-08-31","3","182.29"
"2026-09-01","3","182.29"
"2026-09-02","3","182.29"
"2026-09-03","3","182.29"
"2026-09-04","3","182.29"
"2026-09-05","3","182.29"
"2026-09-06","3","182.29"
"2026-09-07","3","182.29"
"2026-09-08","3","182.29"
"2026-09-09","3","182.29"
"2026-09-10","5","206.93"
"2026-09-11","5","206.93"
"2026-09-12","5","206.93"
"2026-09-13","3","113.32"
"2026-09-14","2","113.32"
"2026-09-15","2","113.32"
"2026-09-16","2","113.32"
"2026-09-17","2","113.32"
"2026-09-18","2","113.32"
"2026-09-19","2","113.32"
"2026-09-20","2","113.32"
"2026-09-21","2","113.32"
"2026-09-22","2","113.32"
"2026-09-23","2","113.32"
"2026-09-24","2","113.32"
"2026-09-25","2","68.98"
"2026-09-26","1","404"
"2026-09-27","1","404"
"2026-09-28","1","404"
"2026-09-29","1","389.22"
"2026-09-30","1","389.22"
"2026-10-01","0","0"
"2026-10-02","0","0"
"2026-10-03","0","0"
"2026-10-04","0","0"
"2026-10-05","0","0"
"2026-10-06","0","0"
"2026-10-07","0","0"
"2026-10-08","0","0"
"2026-10-09","0","0"
"2026-10-10","0","0"
"2026-10-11","0","0"
"2026-10-12","0","0"
"2026-10-13","1","285.75"
"2026-10-14","1","285.75"
"2026-10-15","1","285.75"
"2026-10-16","1","285.75"
"2026-10-17","1","285.75"
"2026-10-18","1","285.75"
"2026-10-19","1","285.75"
"2026-10-20","1","285.75"
"2026-10-21","1","285.75"
"2026-10-22","1","285.75"
"2026-10-23","1","285.75"
"2026-10-24","1","285.75"
"2026-10-25","1","285.75"
"2026-10-26","1","285.75"
"2026-10-27","1","285.75"
"2026-10-28","1","285.75"
"2026-10-29","1","285.75"
"2026-10-30","1","285.75"
"2026-10-31","0","0"
