"Date","Revenue"
"2023-05-01","1933.27"
"2023-06-01","2161.21"
"2023-07-01","2637.5"
"2023-08-01","2972.88"
"2023-09-01","3132.41"
"2023-10-01","2153.7"
"2023-11-01","2454.12"
"2023-12-01","1295.13"
"2024-01-01","1307.19"
"2024-02-01","2507.17"
"2024-03-01","1037.38"
"2024-04-01","1746.77"
"2024-05-01","2407.08"
"2024-06-01","2201.35"
"2024-07-01","2507.13"
"2024-08-01","2448.76"
"2024-09-01","2370.26"
"2024-10-01","1771.24"
"2024-11-01","2423.13"
"2024-12-01","2944.92"
"2025-01-01","3817.09"
"2025-02-01","6551.54"
"2025-03-01","3682.11"
"2025-04-01","2545.91"
"2025-05-01","1938.12"
"2025-06-01","2333.66"
"2025-07-01","2365.4"
"2025-08-01","2720.71"
"2025-09-01","2479.48"
"2025-10-01","3261.91"
"2025-11-01","2485.86"
"2025-12-01","2451.81"
"2026-01-01","3302.18"
"2026-02-01","3704.35"
"2026-03-01","3319.08"
"2026-04-01","3443.57"
