"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","6","2","0","0","0","0"
"2023-06-01","7","2","0","0","0","0"
"2023-07-01","7","5","0","0","0","0"
"2023-08-01","6","5","0","0","0","0"
"2023-09-01","7","6","0","0","0","0"
"2023-10-01","7","4","0","1","0","0"
"2023-11-01","8","5","0","1","0","0"
"2023-12-01","12","6","0","1","0","0"
"2024-01-01","12","6","0","1","0","0"
"2024-02-01","18","7","0","1","0","0"
"2024-03-01","19","8","0","1","0","0"
"2024-04-01","10","6","0","0","0","0"
"2024-05-01","13","6","0","0","0","0"
"2024-06-01","12","6","0","0","0","0"
"2024-07-01","11","6","0","0","0","0"
"2024-08-01","9","5","0","0","0","0"
"2024-09-01","15","7","0","2","0","0"
"2024-10-01","15","5","0","2","0","0"
"2024-11-01","16","6","0","2","0","0"
"2024-12-01","23","7","0","0","0","0"
"2025-01-01","26","7","0","0","0","0"
"2025-02-01","27","8","0","0","0","0"
"2025-03-01","33","9","0","0","0","0"
"2025-04-01","31","8","0","0","0","0"
"2025-05-01","30","8","0","0","0","0"
"2025-06-01","20","4","0","0","0","0"
"2025-07-01","19","4","0","0","0","0"
"2025-08-01","19","4","0","0","0","0"
"2025-09-01","18","2","0","0","0","0"
"2025-10-01","18","3","0","1","0","0"
"2025-11-01","18","6","0","1","0","0"
"2025-12-01","27","9","0","1","0","0"
"2026-01-01","30","7","0","0","0","0"
"2026-02-01","36","12","0","0","0","0"
"2026-03-01","35","11","0","0","0","0"
"2026-04-01","22","6","0","0","0","0"
