"Date","Listing Days Booked","Booked Listings"
"2023-05-01","171","8"
"2023-06-01","143","8"
"2023-07-01","251","11"
"2023-08-01","240","11"
"2023-09-01","185","9"
"2023-10-01","243","12"
"2023-11-01","293","14"
"2023-12-01","353","19"
"2024-01-01","223","16"
"2024-02-01","336","26"
"2024-03-01","262","17"
"2024-04-01","255","14"
"2024-05-01","302","18"
"2024-06-01","241","17"
"2024-07-01","317","15"
"2024-08-01","262","13"
"2024-09-01","333","23"
"2024-10-01","258","18"
"2024-11-01","324","22"
"2024-12-01","455","29"
"2025-01-01","479","31"
"2025-02-01","399","34"
"2025-03-01","601","42"
"2025-04-01","453","32"
"2025-05-01","383","37"
"2025-06-01","300","21"
"2025-07-01","398","21"
"2025-08-01","350","19"
"2025-09-01","291","16"
"2025-10-01","362","19"
"2025-11-01","408","25"
"2025-12-01","404","35"
"2026-01-01","574","36"
"2026-02-01","630","48"
"2026-03-01","382","25"
"2026-04-01","449","27"
