"Date","Occupancy"
"2023-05-01","82.61"
"2023-06-01","63.27"
"2023-07-01","84.8"
"2023-08-01","72.07"
"2023-09-01","64.24"
"2023-10-01","80.73"
"2023-11-01","74.18"
"2023-12-01","72.48"
"2024-01-01","47.85"
"2024-02-01","54.28"
"2024-03-01","47.21"
"2024-04-01","63.91"
"2024-05-01","64.12"
"2024-06-01","58.21"
"2024-07-01","64.04"
"2024-08-01","63.75"
"2024-09-01","68.38"
"2024-10-01","46.65"
"2024-11-01","57.96"
"2024-12-01","70.22"
"2025-01-01","53.7"
"2025-02-01","61.01"
"2025-03-01","48.78"
"2025-04-01","55.93"
"2025-05-01","37.7"
"2025-06-01","55.97"
"2025-07-01","66.22"
"2025-08-01","55.91"
"2025-09-01","56.07"
"2025-10-01","63.07"
"2025-11-01","67"
"2025-12-01","52.54"
"2026-01-01","53.49"
"2026-02-01","60"
"2026-03-01","34.2"
"2026-04-01","60.11"
