"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","111.15","151.07","0","0","0","0"
"2023-06-01","129.64","150.33","0","0","0","0"
"2023-07-01","148.38","118.59","0","0","0","0"
"2023-08-01","153.96","139.62","0","0","0","0"
"2023-09-01","95.69","178.61","0","0","0","0"
"2023-10-01","97.99","164.61","0","701.91","0","0"
"2023-11-01","82.3","374.17","0","646.7","0","0"
"2023-12-01","120.51","418.33","0","622.2","0","0"
"2024-01-01","99.04","254.95","0","0","0","0"
"2024-02-01","130.56","317.68","0","648.65","0","0"
"2024-03-01","94.83","382.53","0","0","0","0"
"2024-04-01","122.96","162.19","0","0","0","0"
"2024-05-01","122.59","169.67","0","0","0","0"
"2024-06-01","100.48","188.69","0","0","0","0"
"2024-07-01","96.61","177.14","0","0","0","0"
"2024-08-01","111.02","179.96","0","0","0","0"
"2024-09-01","113.51","237.5","0","751.95","0","0"
"2024-10-01","106.78","196.21","0","760.4","0","0"
"2024-11-01","99.3","187.32","0","0","0","0"
"2024-12-01","129.39","187.26","0","0","0","0"
"2025-01-01","114.65","192.49","0","0","0","0"
"2025-02-01","124.21","186.09","0","0","0","0"
"2025-03-01","129.7","252.65","0","0","0","0"
"2025-04-01","121.09","207.44","0","0","0","0"
"2025-05-01","113.25","245.41","0","0","0","0"
"2025-06-01","93.3","160.57","0","0","0","0"
"2025-07-01","93.44","155.63","0","0","0","0"
"2025-08-01","94.82","132.01","0","0","0","0"
"2025-09-01","129.51","140.84","0","0","0","0"
"2025-10-01","108.98","190.12","0","787.85","0","0"
"2025-11-01","127.02","158.05","0","736.3","0","0"
"2025-12-01","143.4","271.48","0","0","0","0"
"2026-01-01","132.81","239.34","0","0","0","0"
"2026-02-01","176.99","323.83","0","0","0","0"
"2026-03-01","120.88","157.89","0","0","0","0"
"2026-04-01","117.55","196.91","0","0","0","0"
