"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","110","183","112","148","0"
"2023-06-01","114","0","95","228","0"
"2023-07-01","109","418","96","146","0"
"2023-08-01","126","310","97","151","0"
"2023-09-01","132","0","94","0","1942"
"2023-10-01","144","217","96","0","0"
"2023-11-01","121","204","78","0","1157"
"2023-12-01","127","93","298","0","1743"
"2024-01-01","143","109","0","0","1868"
"2024-02-01","169","146","377","0","1248"
"2024-03-01","119","134","111","0","1764"
"2024-04-01","143","167","101","0","0"
"2024-05-01","144","136","94","0","0"
"2024-06-01","143","125","0","0","0"
"2024-07-01","128","126","0","0","0"
"2024-08-01","146","99","0","0","0"
"2024-09-01","160","171","96","0","631"
"2024-10-01","184","254","107","0","0"
"2024-11-01","125","189","157","0","0"
"2024-12-01","132","202","527","0","508"
"2025-01-01","130","215","196","0","505"
"2025-02-01","129","212","254","397","0"
"2025-03-01","131","204","229","343","573"
"2025-04-01","119","168","189","212","589"
"2025-05-01","124","199","216","142","551"
"2025-06-01","96","169","181","0","0"
"2025-07-01","101","133","0","0","0"
"2025-08-01","97","127","174","0","0"
"2025-09-01","97","144","170","0","2834"
"2025-10-01","138","107","157","0","2905"
"2025-11-01","148","126","141","0","3358"
"2025-12-01","147","214","220","265","561"
"2026-01-01","145","209","175","240","272"
"2026-02-01","180","278","266","322","626"
"2026-03-01","120","197","0","0","0"
"2026-04-01","119","188","0","0","0"
