"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","2630.5","2190.45","","","",""
"2023-06-01","2484.73","2104.68","","","",""
"2023-07-01","4031.08","2087.27","","","",""
"2023-08-01","3643.82","2736.6","","","",""
"2023-09-01","1770.19","3965.23","","","",""
"2023-10-01","1903.74","4197.56","","3509.54","",""
"2023-11-01","1645.92","9504.04","","3880.19","",""
"2023-12-01","2108.97","9551.92","","3733.21","",""
"2024-01-01","1168.72","4461.52","","","",""
"2024-02-01","1595.77","4492.87","","11027.13","",""
"2024-03-01","1403.49","6229.82","","","",""
"2024-04-01","1829.08","3676.31","","","",""
"2024-05-01","1849.05","3421.67","","","",""
"2024-06-01","1205.79","3427.9","","","",""
"2024-07-01","1874.22","4357.55","","","",""
"2024-08-01","1887.32","4535.06","","","",""
"2024-09-01","1785.88","3483.35","","3383.78","",""
"2024-10-01","1553.19","3060.8","","7603.96","",""
"2024-11-01","1396.37","3090.76","","","",""
"2024-12-01","1929.64","3495.53","","","",""
"2025-01-01","1700.61","3382.28","","","",""
"2025-02-01","1278.94","3216.65","","","",""
"2025-03-01","1929.83","3087.92","","","",""
"2025-04-01","1972.85","1607.61","","","",""
"2025-05-01","1198.9","2331.37","","","",""
"2025-06-01","1344.56","2207.86","","","",""
"2025-07-01","1808.35","2684.6","","","",""
"2025-08-01","1712.73","2684.25","","","",""
"2025-09-01","2220.09","3591.43","","","",""
"2025-10-01","2114.2","3675.64","","10242.05","",""
"2025-11-01","2011.15","2924","","8835.57","",""
"2025-12-01","1795.15","2239.71","","","",""
"2026-01-01","2102.01","3931.96","","","",""
"2026-02-01","2428.74","3670.12","","","",""
"2026-03-01","1744.12","3118.4","","","",""
"2026-04-01","2071.02","2592.68","","","",""
