"Date","Unique","B&B","Apartment","House"
"2023-05-01","3334.57","","13885.89","2943.42"
"2023-06-01","3175.06","","14451.35","1491.32"
"2023-07-01","3275.47","","18927.58","12419.87"
"2023-08-01","3399.57","","21808.08","10338.28"
"2023-09-01","3211.89","","18877.17","4817.84"
"2023-10-01","3443.89","","22380.27","7801.78"
"2023-11-01","2698.63","","20018.49","41850.66"
"2023-12-01","2256.71","","28932.35","55163.56"
"2024-01-01","","","23748.94","14707.52"
"2024-02-01","","","37662.33","33538.97"
"2024-03-01","","","23243.27","34400.24"
"2024-04-01","","","28248.99","8441.51"
"2024-05-01","","","32407.64","10311.29"
"2024-06-01","","","24521.3","9309.86"
"2024-07-01","","","30837.39","9692.53"
"2024-08-01","","","30509.85","7263.99"
"2024-09-01","","","34322.44","20133.65"
"2024-10-01","","","23818.19","23778.62"
"2024-11-01","","","30034","10851.89"
"2024-12-01","","","52840.81","12513.81"
"2025-01-01","","","51014.19","13476.69"
"2025-02-01","","","39516.48","17530.56"
"2025-03-01","","","59909.41","31566.35"
"2025-04-01","","","39613.47","20595.47"
"2025-05-01","","","37262.11","16156.2"
"2025-06-01","","","27564.29","4124.66"
"2025-07-01","","","29069.26","12411.4"
"2025-08-01","","","27938.88","7518.06"
"2025-09-01","","","26158.16","12106.12"
"2025-10-01","","","36351.37","16630.38"
"2025-11-01","","","36412.29","26167.69"
"2025-12-01","","","50569.78","15816.93"
"2026-01-01","","128.87","67724.25","20629.24"
"2026-02-01","","563.69","81641.79","49271.1"
"2026-03-01","","341.16","30080.56","18678.41"
"2026-04-01","","114.86","37369.35","21563.66"
