"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","101","22","5","2","0","0"
"2023-06-01","107","23","6","1","0","0"
"2023-07-01","109","23","8","1","0","0"
"2023-08-01","102","25","6","1","0","0"
"2023-09-01","105","23","5","1","0","0"
"2023-10-01","113","26","6","1","0","0"
"2023-11-01","126","31","7","1","0","0"
"2023-12-01","165","42","10","3","0","0"
"2024-01-01","170","39","10","3","0","0"
"2024-02-01","185","39","8","5","0","0"
"2024-03-01","196","39","8","5","0","0"
"2024-04-01","160","27","7","2","1","0"
"2024-05-01","171","32","8","2","1","0"
"2024-06-01","165","26","7","1","0","0"
"2024-07-01","145","23","5","1","0","0"
"2024-08-01","156","21","4","1","0","0"
"2024-09-01","199","26","5","2","0","0"
"2024-10-01","195","27","5","2","0","0"
"2024-11-01","192","25","5","2","0","0"
"2024-12-01","231","37","10","0","0","0"
"2025-01-01","235","40","9","1","0","0"
"2025-02-01","230","42","10","3","0","0"
"2025-03-01","265","44","10","4","0","0"
"2025-04-01","256","44","10","1","0","0"
"2025-05-01","259","43","9","1","0","0"
"2025-06-01","238","39","9","0","0","0"
"2025-07-01","237","36","8","0","0","0"
"2025-08-01","188","31","5","0","0","1"
"2025-09-01","181","31","7","0","0","1"
"2025-10-01","188","31","6","0","0","1"
"2025-11-01","213","32","7","1","0","1"
"2025-12-01","278","49","10","1","1","1"
"2026-01-01","294","49","10","0","1","1"
"2026-02-01","322","56","12","2","1","1"
"2026-03-01","313","50","10","2","1","1"
"2026-04-01","246","40","6","0","0","1"
