"Date","Listing Days Booked","Booked Listings"
"2023-05-01","1985","111"
"2023-06-01","2222","131"
"2023-07-01","2505","123"
"2023-08-01","2338","125"
"2023-09-01","2514","127"
"2023-10-01","2777","141"
"2023-11-01","3309","160"
"2023-12-01","3012","209"
"2024-01-01","3174","203"
"2024-02-01","3495","231"
"2024-03-01","2985","174"
"2024-04-01","2904","175"
"2024-05-01","3230","204"
"2024-06-01","2614","186"
"2024-07-01","2957","158"
"2024-08-01","2823","162"
"2024-09-01","3931","227"
"2024-10-01","3360","169"
"2024-11-01","3950","215"
"2024-12-01","4071","271"
"2025-01-01","4428","264"
"2025-02-01","4332","277"
"2025-03-01","5188","317"
"2025-04-01","4520","283"
"2025-05-01","4085","298"
"2025-06-01","3738","272"
"2025-07-01","3852","216"
"2025-08-01","4111","208"
"2025-09-01","3866","205"
"2025-10-01","4180","214"
"2025-11-01","4419","247"
"2025-12-01","4863","329"
"2026-01-01","5715","333"
"2026-02-01","5925","380"
"2026-03-01","4841","252"
"2026-04-01","4640","273"
