"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","7.54"
"2024-05-01","5.04"
"2024-06-01","8.22"
"2024-07-01","6.32"
"2024-08-01","6.6"
"2024-09-01","5.51"
"2024-10-01","5.53"
"2024-11-01","5.31"
"2024-12-01","5.16"
"2025-01-01","5.96"
"2025-02-01","5.64"
"2025-03-01","6.68"
"2025-04-01","5.71"
"2025-05-01","5.65"
"2025-06-01","5.11"
"2025-07-01","7.15"
"2025-08-01","6.42"
"2025-09-01","5.7"
"2025-10-01","5.83"
"2025-11-01","5.68"
"2025-12-01","5.85"
"2026-01-01","6.15"
"2026-02-01","6.11"
"2026-03-01","6.79"
"2026-04-01","6.38"
