"Date","Occupancy"
"2023-05-01","60.17"
"2023-06-01","62.72"
"2023-07-01","67.72"
"2023-08-01","63.79"
"2023-09-01","69.91"
"2023-10-01","69.65"
"2023-11-01","74.26"
"2023-12-01","58.69"
"2024-01-01","54.49"
"2024-02-01","61.23"
"2024-03-01","51.57"
"2024-04-01","60.56"
"2024-05-01","59.18"
"2024-06-01","48.82"
"2024-07-01","65.18"
"2024-08-01","61.87"
"2024-09-01","69.01"
"2024-10-01","57.69"
"2024-11-01","70.31"
"2024-12-01","64.57"
"2025-01-01","56.89"
"2025-02-01","74.96"
"2025-03-01","57.17"
"2025-04-01","64.22"
"2025-05-01","47.54"
"2025-06-01","55.79"
"2025-07-01","53.8"
"2025-08-01","66.23"
"2025-09-01","66.83"
"2025-10-01","68.14"
"2025-11-01","68.37"
"2025-12-01","64.73"
"2026-01-01","59.76"
"2026-02-01","69.3"
"2026-03-01","51.84"
"2026-04-01","62.78"
