"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","184.98","260.54","322.3","502.48","0","0"
"2023-06-01","178.83","384.68","547.88","38593.86","0","0"
"2023-07-01","179.48","378.85","467.47","39211.45","0","0"
"2023-08-01","182.48","256.14","412.42","40043.37","0","0"
"2023-09-01","176.5","284.18","411.27","38774.22","0","0"
"2023-10-01","193.46","320.3","467.75","39076.01","0","0"
"2023-11-01","184.01","294.55","419.24","36410.33","0","0"
"2023-12-01","220.16","359.89","489.83","6438.67","0","0"
"2024-01-01","251.68","368.05","713.86","13620.34","0","0"
"2024-02-01","250.49","393.47","591.15","4623.38","0","0"
"2024-03-01","251.38","342.11","464.83","21627.1","0","0"
"2024-04-01","219.26","314.86","561.07","10112.14","41664.83","0"
"2024-05-01","229.86","303.83","479.79","702.23","40926.77","0"
"2024-06-01","234.12","292.42","457.79","945.25","0","0"
"2024-07-01","228.84","281.35","424.02","807.95","0","0"
"2024-08-01","220.66","294.44","426.31","586.13","0","0"
"2024-09-01","247.44","365.33","440.98","638.29","0","0"
"2024-10-01","219.84","286.66","423.44","495.22","0","0"
"2024-11-01","235.98","468.71","484.91","121.74","0","0"
"2024-12-01","263.54","549.95","657.6","0","0","0"
"2025-01-01","265.42","395.27","551.81","2437.55","0","0"
"2025-02-01","266.9","440.93","607.03","1390.24","0","0"
"2025-03-01","295.05","483.63","623.29","1335.03","0","0"
"2025-04-01","267.25","464.2","694.9","876.44","0","0"
"2025-05-01","251.1","381.09","729.01","756.02","0","0"
"2025-06-01","257.73","411.22","657.53","0","0","0"
"2025-07-01","230.29","358.97","489.88","0","0","0"
"2025-08-01","220.85","392.6","500.89","0","0","59.41"
"2025-09-01","219.96","456.09","521.16","0","0","78.3"
"2025-10-01","239.36","379.95","385.73","0","0","81.34"
"2025-11-01","255.03","375.87","514.89","354.91","0","121.08"
"2025-12-01","292.88","392.71","548.26","447.54","1548.66","116.67"
"2026-01-01","319.81","476.34","590.95","0","1680.13","99.04"
"2026-02-01","361.1","565.75","757.11","2284.36","1717.18","161.15"
"2026-03-01","288.61","424.41","685.11","1148.74","0","96.38"
"2026-04-01","256.71","381.28","586.24","0","0","104.25"
