"Date","Daily Rate"
"2023-05-01","202"
"2023-06-01","362"
"2023-07-01","295"
"2023-08-01","276"
"2023-09-01","308"
"2023-10-01","322"
"2023-11-01","287"
"2023-12-01","352"
"2024-01-01","345"
"2024-02-01","369"
"2024-03-01","380"
"2024-04-01","375"
"2024-05-01","260"
"2024-06-01","254"
"2024-07-01","245"
"2024-08-01","236"
"2024-09-01","269"
"2024-10-01","235"
"2024-11-01","267"
"2024-12-01","307"
"2025-01-01","291"
"2025-02-01","307"
"2025-03-01","333"
"2025-04-01","306"
"2025-05-01","282"
"2025-06-01","287"
"2025-07-01","252"
"2025-08-01","249"
"2025-09-01","258"
"2025-10-01","262"
"2025-11-01","278"
"2025-12-01","313"
"2026-01-01","349"
"2026-02-01","399"
"2026-03-01","307"
"2026-04-01","276"
