"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","134","194","266","256","406"
"2023-06-01","135","203","247","247","2593"
"2023-07-01","138","202","234","264","3056"
"2023-08-01","145","211","247","274","2573"
"2023-09-01","138","207","237","270","4326"
"2023-10-01","142","232","252","278","1992"
"2023-11-01","140","217","224","285","1701"
"2023-12-01","178","279","262","304","2003"
"2024-01-01","185","274","293","360","1989"
"2024-02-01","191","300","280","414","1870"
"2024-03-01","172","248","282","331","2191"
"2024-04-01","164","236","244","333","2749"
"2024-05-01","168","233","285","336","1062"
"2024-06-01","175","254","321","313","717"
"2024-07-01","179","243","273","309","642"
"2024-08-01","170","215","270","325","559"
"2024-09-01","194","273","298","352","600"
"2024-10-01","167","244","269","303","646"
"2024-11-01","175","241","309","344","1089"
"2024-12-01","195","274","328","400","886"
"2025-01-01","198","284","319","402","804"
"2025-02-01","187","277","344","446","712"
"2025-03-01","189","295","343","483","745"
"2025-04-01","174","260","337","460","719"
"2025-05-01","180","269","310","475","631"
"2025-06-01","174","244","314","445","615"
"2025-07-01","168","231","293","366","570"
"2025-08-01","161","234","283","348","597"
"2025-09-01","158","227","275","350","767"
"2025-10-01","168","241","286","356","628"
"2025-11-01","179","246","310","390","597"
"2025-12-01","196","276","330","438","659"
"2026-01-01","213","319","348","439","745"
"2026-02-01","216","343","378","512","803"
"2026-03-01","176","253","298","387","634"
"2026-04-01","170","249","286","381","520"
