"Date","Booked Listings","Daily Rate"
"2026-05-14","124","246.34"
"2026-05-15","143","261.12"
"2026-05-16","143","261.12"
"2026-05-17","133","261.12"
"2026-05-18","105","241.41"
"2026-05-19","100","246.34"
"2026-05-20","98","246.34"
"2026-05-21","100","251.27"
"2026-05-22","107","251.27"
"2026-05-23","109","251.27"
"2026-05-24","97","261.12"
"2026-05-25","97","231.56"
"2026-05-26","90","241.41"
"2026-05-27","93","256.19"
"2026-05-28","91","241.41"
"2026-05-29","93","251.27"
"2026-05-30","89","261.12"
"2026-05-31","77","261.12"
"2026-06-01","78","246.34"
"2026-06-02","91","261.12"
"2026-06-03","128","270.97"
"2026-06-04","183","300.53"
"2026-06-05","204","310.39"
"2026-06-06","207","305.46"
"2026-06-07","147","280.83"
"2026-06-08","89","266.05"
"2026-06-09","74","251.27"
"2026-06-10","69","236.49"
"2026-06-11","70","231.56"
"2026-06-12","69","246.34"
"2026-06-13","65","256.19"
"2026-06-14","67","256.19"
"2026-06-15","65","236.49"
"2026-06-16","61","241.41"
"2026-06-17","60","241.41"
"2026-06-18","65","261.12"
"2026-06-19","66","251.27"
"2026-06-20","65","270.97"
"2026-06-21","61","266.05"
"2026-06-22","65","241.41"
"2026-06-23","67","241.41"
"2026-06-24","66","241.41"
"2026-06-25","63","231.56"
"2026-06-26","63","241.41"
"2026-06-27","62","241.41"
"2026-06-28","59","241.41"
"2026-06-29","59","231.56"
"2026-06-30","63","236.49"
"2026-07-01","65","226.63"
"2026-07-02","63","231.56"
"2026-07-03","64","246.34"
"2026-07-04","59","241.41"
"2026-07-05","58","236.49"
"2026-07-06","60","231.56"
"2026-07-07","61","231.56"
"2026-07-08","65","236.49"
"2026-07-09","68","246.34"
"2026-07-10","67","261.12"
"2026-07-11","68","256.19"
"2026-07-12","65","246.34"
"2026-07-13","67","241.41"
"2026-07-14","63","241.41"
"2026-07-15","58","241.41"
"2026-07-16","56","236.49"
"2026-07-17","51","241.41"
"2026-07-18","50","241.41"
"2026-07-19","52","226.63"
"2026-07-20","54","231.56"
"2026-07-21","51","236.49"
"2026-07-22","50","226.63"
"2026-07-23","50","226.63"
"2026-07-24","51","246.34"
"2026-07-25","52","241.41"
"2026-07-26","51","251.27"
"2026-07-27","51","241.41"
"2026-07-28","48","241.41"
"2026-07-29","47","231.56"
"2026-07-30","49","226.63"
"2026-07-31","44","226.63"
"2026-08-01","47","261.12"
"2026-08-02","40","251.27"
"2026-08-03","44","241.41"
"2026-08-04","44","251.27"
"2026-08-05","41","251.27"
"2026-08-06","41","251.27"
"2026-08-07","46","256.19"
"2026-08-08","50","256.19"
"2026-08-09","48","256.19"
"2026-08-10","44","261.12"
"2026-08-11","42","275.9"
"2026-08-12","38","285.75"
"2026-08-13","42","266.05"
"2026-08-14","40","251.27"
"2026-08-15","41","256.19"
"2026-08-16","35","246.34"
"2026-08-17","32","231.56"
"2026-08-18","31","241.41"
"2026-08-19","29","251.27"
"2026-08-20","28","251.27"
"2026-08-21","26","280.83"
"2026-08-22","27","280.83"
"2026-08-23","26","275.9"
"2026-08-24","30","251.27"
"2026-08-25","30","251.27"
"2026-08-26","27","251.27"
"2026-08-27","27","251.27"
"2026-08-28","24","241.41"
"2026-08-29","25","251.27"
"2026-08-30","26","241.41"
"2026-08-31","28","226.63"
"2026-09-01","35","241.41"
"2026-09-02","40","241.41"
"2026-09-03","45","251.27"
"2026-09-04","55","285.75"
"2026-09-05","58","256.19"
"2026-09-06","58","246.34"
"2026-09-07","53","226.63"
"2026-09-08","52","236.49"
"2026-09-09","58","251.27"
"2026-09-10","61","256.19"
"2026-09-11","72","280.83"
"2026-09-12","68","280.83"
"2026-09-13","56","280.83"
"2026-09-14","41","261.12"
"2026-09-15","35","256.19"
"2026-09-16","32","256.19"
"2026-09-17","33","256.19"
"2026-09-18","31","261.12"
"2026-09-19","31","256.19"
"2026-09-20","31","256.19"
"2026-09-21","30","256.19"
"2026-09-22","28","261.12"
"2026-09-23","25","280.83"
"2026-09-24","28","295.61"
"2026-09-25","28","290.68"
"2026-09-26","29","290.68"
"2026-09-27","28","256.19"
"2026-09-28","29","256.19"
"2026-09-29","28","261.12"
"2026-09-30","28","261.12"
"2026-10-01","23","246.34"
"2026-10-02","23","246.34"
"2026-10-03","23","295.61"
"2026-10-04","25","246.34"
"2026-10-05","26","251.27"
"2026-10-06","26","241.41"
"2026-10-07","27","251.27"
"2026-10-08","28","305.46"
"2026-10-09","27","290.68"
"2026-10-10","30","270.97"
"2026-10-11","31","280.83"
"2026-10-12","28","246.34"
"2026-10-13","27","246.34"
"2026-10-14","26","246.34"
"2026-10-15","23","275.9"
"2026-10-16","21","305.46"
"2026-10-17","20","246.34"
"2026-10-18","20","241.41"
"2026-10-19","21","241.41"
"2026-10-20","21","241.41"
"2026-10-21","20","246.34"
"2026-10-22","20","246.34"
"2026-10-23","19","266.05"
"2026-10-24","19","266.05"
"2026-10-25","18","246.34"
"2026-10-26","18","236.49"
"2026-10-27","19","256.19"
"2026-10-28","19","241.41"
"2026-10-29","20","226.63"
"2026-10-30","18","241.41"
"2026-10-31","19","246.34"
