"Date","Revenue"
"2023-05-01","3608.29"
"2023-06-01","6139.12"
"2023-07-01","6012.91"
"2023-08-01","5167.62"
"2023-09-01","6101.94"
"2023-10-01","6341.1"
"2023-11-01","5943.16"
"2023-12-01","5080.13"
"2024-01-01","5391.62"
"2024-02-01","5585.49"
"2024-03-01","6513.96"
"2024-04-01","6223.34"
"2024-05-01","4121.45"
"2024-06-01","3569.3"
"2024-07-01","4591.71"
"2024-08-01","4108.46"
"2024-09-01","4651.61"
"2024-10-01","4665.68"
"2024-11-01","4901.17"
"2024-12-01","4617.49"
"2025-01-01","4886.97"
"2025-02-01","4802.39"
"2025-03-01","5453.67"
"2025-04-01","4886.3"
"2025-05-01","3861.73"
"2025-06-01","3937.52"
"2025-07-01","4499.34"
"2025-08-01","4929.08"
"2025-09-01","4870.02"
"2025-10-01","5122.83"
"2025-11-01","4973.66"
"2025-12-01","4631.08"
"2026-01-01","5983.16"
"2026-02-01","6218.2"
"2026-03-01","5892.93"
"2026-04-01","4684.19"
