"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","3421.16","3862.04","5962.62","6532.24","",""
"2023-06-01","3157.6","5665.28","8126.86","308750.85","",""
"2023-07-01","3778.17","6978.9","8133.91","196057.25","",""
"2023-08-01","3351.12","5320.72","7835.95","160173.49","",""
"2023-09-01","3607.69","5074.6","7238.44","271419.53","",""
"2023-10-01","3993.4","5035.16","9900.79","273532.1","",""
"2023-11-01","3941.9","5576.15","7067.16","254872.32","",""
"2023-12-01","3285.67","4494.07","6476.62","103018.73","",""
"2024-01-01","4099.28","5175.01","7941.67","102152.56","",""
"2024-02-01","3793.54","6194.69","7347.14","62877.99","",""
"2024-03-01","4356.56","5917.24","7282.26","162203.26","",""
"2024-04-01","3695.23","4900.9","10005.73","131457.86","124994.5",""
"2024-05-01","3740.87","4635.82","5688.98","2808.9","40926.77",""
"2024-06-01","3169.63","4971.09","8174.8","2835.76","",""
"2024-07-01","4309.28","5115.47","7801.97","13735.17","",""
"2024-08-01","3897.26","4334.86","9698.58","7033.56","",""
"2024-09-01","4300.31","5859.89","8554.97","14042.28","",""
"2024-10-01","4461.97","4475.08","9421.56","11637.73","",""
"2024-11-01","4346.44","8249.29","8825.28","3652.08","",""
"2024-12-01","4087.81","6971","8183.41","","",""
"2025-01-01","4519.35","6038.89","10169.16","7312.66","",""
"2025-02-01","4311.22","6026.05","9226.79","9268.26","",""
"2025-03-01","4952.54","6984.53","9847.97","12460.32","",""
"2025-04-01","4305.33","7113.59","9120.52","26293.22","",""
"2025-05-01","3473.21","4924.83","8657.06","21168.43","",""
"2025-06-01","3639.02","5012.46","7013.65","","",""
"2025-07-01","4104.21","6254.45","9993.6","","",""
"2025-08-01","4442.46","7310.39","8915.81","","","118.82"
"2025-09-01","4224.86","8486.57","6551.72","","","861.31"
"2025-10-01","4672.91","7887.3","5786.02","","","1057.45"
"2025-11-01","4570.87","6640.45","10591.93","3549.06","","847.54"
"2025-12-01","4414.82","5339.2","7310.12","8950.83","4645.99","1283.33"
"2026-01-01","5541.49","7568.6","11375.72","","18481.48","1782.64"
"2026-02-01","5810.86","7964.02","7873.98","17132.67","8585.91","2578.38"
"2026-03-01","5746.28","6902.96","6851.15","2297.49","","2409.43"
"2026-04-01","4487.92","6070.34","4005.96","","","833.98"
