"Date","Unique","B&B","Apartment","House"
"2023-05-01","","","391528.4","8991.6"
"2023-06-01","356785.71","","433396.14","14042.44"
"2023-07-01","228629.4","","496948.6","14009.58"
"2023-08-01","160173.49","","459420.23","26359.11"
"2023-09-01","271419.53","","479628.03","23899.4"
"2023-10-01","273532.1","","592642.77","27919.79"
"2023-11-01","255767","","672104.96","23033.18"
"2023-12-01","280741.09","","759050.78","21954.81"
"2024-01-01","210734.79","","870350.41","13413.8"
"2024-02-01","280293.9","","958907.27","51047.08"
"2024-03-01","325280.89","","769031.51","39116.85"
"2024-04-01","390352.45","","675891.21","22840.82"
"2024-05-01","45984.85","354.32","763014.68","31421.7"
"2024-06-01","3017.68","3745.34","617227.41","39898.62"
"2024-07-01","","5388.37","687444.95","32657.12"
"2024-08-01","","2112.26","629651.84","33807.18"
"2024-09-01","","","1000309.62","55605.63"
"2024-10-01","","","750852.51","37646.65"
"2024-11-01","","","970403.63","83348.55"
"2024-12-01","978.87","","1174298.53","76061.76"
"2025-01-01","","","1256718.34","33442.17"
"2025-02-01","2926.51","","1300849.36","26486.94"
"2025-03-01","4119.6","","1688592.8","36099.63"
"2025-04-01","","4826.6","1332501.88","45493.69"
"2025-05-01","488.72","591.01","1138224.86","11490.62"
"2025-06-01","","","1055919.48","15084.96"
"2025-07-01","","","965193.76","6664.25"
"2025-08-01","","","1015499.57","9748.63"
"2025-09-01","","","986630.47","11723.32"
"2025-10-01","","","1084430.61","11855.48"
"2025-11-01","","","1216543.5","11950.27"
"2025-12-01","904.29","","1506848.38","15871.08"
"2026-01-01","896.69","","1973469.64","18025.08"
"2026-02-01","3069","","2323732.51","36113"
"2026-03-01","","","1460418.33","24600.71"
"2026-04-01","","","1247371.35","31411.63"
