"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","489","42","6","3","1","0"
"2023-06-01","495","45","5","3","0","0"
"2023-07-01","497","43","6","3","1","0"
"2023-08-01","482","38","6","3","1","0"
"2023-09-01","479","45","5","3","1","0"
"2023-10-01","547","49","6","3","1","0"
"2023-11-01","628","61","7","3","1","0"
"2023-12-01","739","74","11","2","2","2"
"2024-01-01","760","73","9","4","2","2"
"2024-02-01","864","89","11","4","4","2"
"2024-03-01","879","92","11","4","4","2"
"2024-04-01","699","61","5","2","3","0"
"2024-05-01","773","72","6","2","3","0"
"2024-06-01","744","71","7","2","2","0"
"2024-07-01","676","59","6","2","2","0"
"2024-08-01","693","59","6","2","2","0"
"2024-09-01","870","76","7","4","2","0"
"2024-10-01","879","79","7","4","2","0"
"2024-11-01","892","75","8","3","3","0"
"2024-12-01","1066","102","11","4","4","1"
"2025-01-01","1104","109","9","4","4","2"
"2025-02-01","1162","119","14","3","4","2"
"2025-03-01","1266","129","15","4","5","2"
"2025-04-01","1209","117","10","3","5","2"
"2025-05-01","1270","114","15","4","4","2"
"2025-06-01","1146","92","11","3","4","1"
"2025-07-01","1108","93","7","3","4","1"
"2025-08-01","1005","85","7","2","3","1"
"2025-09-01","1033","85","7","3","3","2"
"2025-10-01","1082","78","8","3","3","2"
"2025-11-01","1196","91","7","4","3","1"
"2025-12-01","1694","139","14","4","3","2"
"2026-01-01","1800","149","18","4","3","2"
"2026-02-01","1933","163","20","4","3","2"
"2026-03-01","1873","161","18","4","3","2"
"2026-04-01","1528","124","11","1","3","1"
